386820,386820,-nan,-nan,-6292741.6544055268
386821,386821,22.3693925006,114.1140681547,250.3550016712
386822,386822,-nan,-nan,-6292741.6544055268
386823,386823,-nan,-nan,-6292741.6544055268
386824,386824,22.3696253743,114.1139526349,-154.8671335539
386825,386825,22.3695916023,114.1149539677,503.9113977801
386826,386826,22.3695913391,114.1149372923,499.3123629092
386827,386827,22.3693887415,114.1146666765,427.6331068382
386828,386828,22.3693544100,114.1146359930,407.8106124946
386829,386829,22.3695271064,114.1152897674,645.0327069324
386830,386830,22.3696836894,114.1154362979,624.2476521727
386831,386831,22.3696715547,114.1151832945,485.0399539587
386832,386832,22.3693592655,114.1146061722,277.4115190456
386833,386833,22.3693726471,114.1144540546,246.7609077175
386834,386834,22.3696222941,114.1146386172,200.3408937278
386835,386835,22.3696010157,114.1145116083,225.9543837154
386836,386836,22.3695261335,114.1146764508,388.2268959819
386837,386837,22.3695532567,114.1149255379,346.4393159239
386838,386838,22.3694257647,114.1143676982,145.4795071063
386839,386839,22.3692621630,114.1145227743,240.8235214698
386840,386840,22.3693620696,114.1141872997,24.0992365201
386841,386841,22.3693045299,114.1144158874,315.0350528103
386842,386842,22.3694286032,114.1144165988,336.9597246075
386843,386843,22.3693837457,114.1144358033,333.4811871219
386844,386844,22.3695732802,114.1141640707,61.4520771210
386845,386845,22.3694641008,114.1146722371,306.7770158801
386846,386846,22.3694276417,114.1146796049,305.0408041857
386847,386847,22.3694325415,114.1148175371,318.1630339764
386848,386848,22.3694385286,114.1147122173,380.9306581018
386849,386849,22.3692517430,114.1147626009,330.1281396738
386850,386850,22.3694343760,114.1146899311,378.5199393569
386851,386851,22.3693189174,114.1144702092,289.5173773565
386852,386852,22.3693805354,114.1148825553,378.2997298588
386853,386853,22.3693287846,114.1144252565,310.8756080233
386854,386854,22.3692646432,114.1144734903,281.7958871984
386855,386855,22.3693983871,114.1147709933,306.7588022419
386856,386856,22.3694918358,114.1148993206,342.3766499586
386857,386857,22.3692423386,114.1146268881,281.8321719630
386858,386858,22.3693045915,114.1146331156,289.4039067943
386859,386859,22.3693231804,114.1147028404,313.2357501177
386860,386860,22.3693434687,114.1146962386,320.3186421805
386861,386861,22.3692362658,114.1142769777,275.5419961112
386862,386862,22.3691440674,114.1145012186,232.8069320270
386863,386863,22.3693961891,114.1146180709,320.0413731389
386864,386864,22.3693104428,114.1145825089,324.1924882396
386865,386865,22.3693214654,114.1144678703,297.1069538646
386866,386866,22.3690852195,114.1142085693,217.4022191707
386867,386867,22.3690828125,114.1144044235,258.6826673034
386868,386868,22.3690679307,114.1144173327,261.0913409459
386869,386869,22.3691867326,114.1144786018,281.0431473887
386870,386870,22.3691164974,114.1144733432,281.7166486247
386871,386871,22.3691176695,114.1144336798,277.2332323163
386872,386872,22.3689463273,114.1143510831,240.6791423603
386873,386873,22.3691110833,114.1144429985,280.8127927966
386874,386874,22.3688177769,114.1141625212,183.5916602619
386875,386875,22.3696435757,114.1152417285,489.9853167527
386876,386876,22.3691197486,114.1145038196,277.0546837489
386877,386877,22.3689455229,114.1130438997,-283.6547661973
386878,386878,22.3690176371,114.1143229849,250.6525446573
386879,386879,22.3687852335,114.1140171964,172.4613091560
386880,386880,22.3692021121,114.1129949730,-543.1988293667
386881,386881,-nan,-nan,-6292741.6544055268
386882,386882,22.3689554145,114.1138632664,-60.5178525047
386883,386883,22.3695303403,114.1148646912,414.2063850083
386884,386884,22.3693400537,114.1137913083,-91.9807595980
386885,386885,22.3699565257,114.1170376165,1480.7714896806
386886,386886,22.3693929282,114.1136101586,-176.3519971952
386887,386887,22.3689703456,114.1139483279,84.6036138453
386888,386888,13.5809213689,81.1500374564,-4407295.7990939384
386889,386889,22.3693311594,114.1141437319,262.6401537352
386890,386890,22.3693896775,114.1145316622,337.4344314321
386891,386891,22.3695162155,114.1146844086,384.0676475954
386892,386892,22.3694799686,114.1146346320,367.2570795582
386893,386893,22.3696750993,114.1148478384,435.8020296076
386894,386894,22.3693444129,114.1140924174,248.8622290370
386895,386895,-nan,-nan,-6292741.6544055268
386896,386896,22.3695214446,114.1145905886,367.9092556459
386897,386897,22.3687668878,114.1109432878,-1404.0429197057
386898,386898,22.3697957189,114.1149873539,475.7468256058
386899,386899,22.3695930356,114.1143519501,349.8447642833
386900,386900,22.3694330602,114.1144578770,325.3752650933
386901,386901,22.3696046404,114.1160446822,1097.1216237359
386902,386902,22.3694399489,114.1146021841,338.6247030045
386903,386903,22.3694675784,114.1146575078,364.2604878204
386904,386904,22.3694497390,114.1146868310,308.2940297571
386905,386905,22.3694720565,114.1146931247,303.2331527512
386906,386906,22.3694924408,114.1150269682,435.8505152014
386907,386907,22.3693901914,114.1142751832,216.4787893137
386908,386908,22.3695390404,114.1146706513,337.4287672108
386909,386909,22.3698280064,114.1152135421,488.5344718728
386910,386910,22.3694243138,114.1144751231,296.4602971211
386911,386911,22.3698657718,114.1153180520,525.7274151905
386912,386912,22.3695220391,114.1152292456,454.9753159852
386913,386913,22.3697076855,114.1151373134,464.8699053221
386914,386914,22.3684443301,114.1147541413,195.2119206263
386915,386915,22.3691770108,114.1142757945,185.2189906095
386916,386916,22.3692657220,114.1142983081,188.9731756560
386917,386917,22.3697167838,114.1152436195,490.0958637239
386918,386918,22.3694535521,114.1149481377,417.7727529908
386919,386919,22.3697151744,114.1152120461,486.7672678127
386920,386920,22.3697418808,114.1153235049,563.8748142377
