GPS_week,GPS_tow,Latitude(deg),Longitude(deg),Altitude(m)
2166,136696.000,NaN,NaN,NaN
2166,136697.000,22.29948119,114.17734420,4.770
2166,136698.000,22.29948191,114.17734836,4.770
2166,136699.000,22.29990575,114.17747068,4.770
2166,136700.000,22.29990444,114.17748424,4.770
2166,136701.000,22.29983244,114.17747740,4.770
2166,136702.000,22.29980294,114.17748456,4.770
2166,136703.000,22.29989956,114.17748403,4.770
2166,136704.000,22.29989235,114.17747925,4.770
2166,136705.000,22.29990048,114.17747945,4.770
2166,136706.000,22.29990010,114.17748215,4.770
2166,136707.000,22.29989817,114.17748273,4.770
2166,136708.000,22.29990304,114.17747850,4.770
2166,136709.000,22.29990306,114.17748684,4.770
2166,136710.000,22.29989835,114.17748460,4.770
2166,136711.000,22.29980368,114.17748488,4.770
2166,136712.000,22.29989841,114.17748468,4.770
2166,136713.000,22.29990196,114.17748770,4.770
2166,136714.000,22.29989973,114.17748436,4.770
2166,136715.000,22.29990240,114.17748950,4.770
2166,136716.000,22.29990561,114.17748513,4.770
2166,136717.000,22.29990582,114.17747903,4.770
2166,136718.000,NaN,NaN,NaN
2166,136719.000,22.29990107,114.17748832,4.770
2166,136720.000,22.29991723,114.17742949,4.770
2166,136721.000,22.29990707,114.17746610,4.770
2166,136722.000,22.29990430,114.17748932,4.770
2166,136723.000,22.29990440,114.17748927,4.770
2166,136724.000,22.29990608,114.17749135,4.770
2166,136725.000,22.29990618,114.17749134,4.770
2166,136726.000,22.29992692,114.17741292,4.770
2166,136727.000,22.29990223,114.17748642,4.770
2166,136728.000,NaN,NaN,NaN
2166,136729.000,NaN,NaN,NaN
2166,136730.000,22.29992452,114.17741651,4.770
2166,136731.000,22.29946685,114.17744701,4.770
2166,136732.000,22.29951388,114.17738156,4.770
2166,136733.000,22.29990444,114.17748705,4.770
2166,136734.000,22.29990263,114.17747361,4.770
2166,136735.000,22.29953888,114.17741129,4.770
2166,136736.000,22.29989761,114.17745837,4.770
2166,136737.000,22.29985635,114.17746466,4.770
2166,136738.000,22.29987153,114.17743923,4.770
2166,136739.000,22.29985388,114.17744410,4.770
2166,136740.000,22.29989831,114.17747350,4.770
2166,136741.000,NaN,NaN,NaN
2166,136742.000,NaN,NaN,NaN
2166,136743.000,22.29980561,114.17749678,4.770
2166,136744.000,22.29979806,114.17749301,4.770
2166,136745.000,22.29986595,114.17747332,4.770
2166,136746.000,22.29990340,114.17743715,4.770
2166,136747.000,22.29989395,114.17745522,4.770
2166,136748.000,22.29980851,114.17749071,4.770
2166,136749.000,22.29984206,114.17747729,4.770
2166,136750.000,22.29987949,114.17747308,4.770
2166,136751.000,NaN,NaN,NaN
2166,136752.000,22.29989683,114.17748124,4.770
2166,136753.000,22.29990707,114.17747284,4.770
2166,136754.000,22.29990469,114.17748340,4.770
2166,136755.000,22.29990602,114.17749028,4.770
2166,136756.000,22.29990599,114.17749483,4.770
2166,136757.000,22.29990355,114.17749338,4.770
2166,136758.000,22.29990420,114.17749315,4.770
2166,136759.000,NaN,NaN,NaN
2166,136760.000,22.29990468,114.17748765,4.770
2166,136761.000,22.29990852,114.17748437,4.770
2166,136762.000,22.29990755,114.17747922,4.770
2166,136763.000,22.29990670,114.17748813,4.770
2166,136764.000,22.29990417,114.17749316,4.770
2166,136765.000,22.29990343,114.17749319,4.770
2166,136766.000,22.29990442,114.17749298,4.770
2166,136767.000,22.29989339,114.17748918,4.770
2166,136768.000,22.29985972,114.17749253,4.770
2166,136769.000,22.29987410,114.17749139,4.770
2166,136770.000,22.29983736,114.17747895,4.770
2166,136771.000,22.29986360,114.17749277,4.770
2166,136772.000,22.29978050,114.17758495,4.770
2166,136773.000,22.29977391,114.17759364,4.770
2166,136774.000,22.29990564,114.17749239,4.770
2166,136775.000,22.29977144,114.17759170,4.770
2166,136776.000,22.29976142,114.17756026,4.770
2166,136777.000,22.29976763,114.17758480,4.770
2166,136778.000,22.29977944,114.17757705,4.770
2166,136779.000,22.29978005,114.17749272,4.770
2166,136780.000,22.29976523,114.17754911,4.770
2166,136781.000,22.29977629,114.17757457,4.770
2166,136782.000,22.29981395,114.17749188,4.770
2166,136783.000,22.29978519,114.17750294,4.770
2166,136784.000,22.29978376,114.17751870,4.770
2166,136785.000,22.29980903,114.17749828,4.770
2166,136786.000,22.29980307,114.17749104,4.770
2166,136787.000,22.29980574,114.17749548,4.770
2166,136788.000,22.29980343,114.17749506,4.770
2166,136789.000,22.29980202,114.17749329,4.770
2166,136790.000,22.29979471,114.17749427,4.770
2166,136791.000,22.29981041,114.17749409,4.770
2166,136792.000,22.29979698,114.17749079,4.770
2166,136793.000,22.29976292,114.17755947,4.770
2166,136794.000,22.29976675,114.17757432,4.770
2166,136795.000,22.29976141,114.17757705,4.770
2166,136796.000,22.29977151,114.17758934,4.770
2166,136797.000,22.29976457,114.17758202,4.770
2166,136798.000,22.29976406,114.17758125,4.770
2166,136799.000,22.29975010,114.17755579,4.770
2166,136800.000,22.29990442,114.17749318,4.770
2166,136801.000,22.29990341,114.17749166,4.770
2166,136802.000,22.29990391,114.17749132,4.770
2166,136803.000,22.29990483,114.17749172,4.770
2166,136804.000,22.29990290,114.17749180,4.770
2166,136805.000,22.29990420,114.17749161,4.770
2166,136806.000,22.29990556,114.17749066,4.770
2166,136807.000,22.29989594,114.17748163,4.770
2166,136808.000,22.29990738,114.17746430,4.770
2166,136809.000,22.29991487,114.17744533,4.770
2166,136810.000,22.29991334,114.17745897,4.770
2166,136811.000,22.29991271,114.17745781,4.770
2166,136812.000,22.29991454,114.17744084,4.770
2166,136813.000,22.29991078,114.17746916,4.770
2166,136814.000,22.29990880,114.17746965,4.770
2166,136815.000,22.29990465,114.17749298,4.770
2166,136816.000,22.29983632,114.17749789,4.770
2166,136817.000,22.29984914,114.17748995,4.770
2166,136818.000,22.29990405,114.17749325,4.770
2166,136819.000,22.29955629,114.17741865,4.770
2166,136820.000,22.29990586,114.17749434,4.770
2166,136821.000,22.29989748,114.17748662,4.770
2166,136822.000,22.29989691,114.17748664,4.770
2166,136823.000,22.29989262,114.17748067,4.770
2166,136824.000,22.29989726,114.17748663,4.770
2166,136825.000,22.29983879,114.17746073,4.770
2166,136826.000,22.29989660,114.17748139,4.770
2166,136827.000,22.29979090,114.17746093,4.770
2166,136828.000,22.29956058,114.17742647,4.770
2166,136829.000,22.29955567,114.17741881,4.770
2166,136830.000,22.29974088,114.17745335,4.770
2166,136831.000,22.29955562,114.17741851,4.770
2166,136832.000,22.29955445,114.17741789,4.770
2166,136833.000,22.29954959,114.17741252,4.770
2166,136834.000,22.29955504,114.17741825,4.770
2166,136835.000,22.29954052,114.17740058,4.770
2166,136836.000,22.29954930,114.17741142,4.770
2166,136837.000,22.29954160,114.17740207,4.770
2166,136838.000,22.29954273,114.17740265,4.770
2166,136839.000,22.29990402,114.17749351,4.770
2166,136840.000,22.29990278,114.17749375,4.770
2166,136841.000,22.29990235,114.17749370,4.770
2166,136842.000,22.29990491,114.17749348,4.770
2166,136843.000,22.29990259,114.17749386,4.770
2166,136844.000,22.29990274,114.17749377,4.770
2166,136845.000,22.29990360,114.17749185,4.770
2166,136846.000,22.29990390,114.17749344,4.770
2166,136847.000,22.29990447,114.17749187,4.770
2166,136848.000,22.29990447,114.17749187,4.770
2166,136849.000,22.29990386,114.17749347,4.770
2166,136850.000,22.29990351,114.17749193,4.770
2166,136851.000,22.29990355,114.17749369,4.770
2166,136852.000,22.29990334,114.17749369,4.770
2166,136853.000,22.29990355,114.17749371,4.770
2166,136854.000,22.29990283,114.17749378,4.770
2166,136855.000,22.29990334,114.17749369,4.770
2166,136856.000,22.29990363,114.17749366,4.770
2166,136857.000,22.29990214,114.17749501,4.770
2166,136858.000,22.29989834,114.17750629,4.770
2166,136859.000,22.29990363,114.17749649,4.770
2166,136860.000,22.29989834,114.17750630,4.770
2166,136861.000,22.29987750,114.17752290,4.770
2166,136862.000,22.29989834,114.17750630,4.770
2166,136863.000,22.29989753,114.17750580,4.770
2166,136864.000,22.29989733,114.17750601,4.770
2166,136865.000,22.29989732,114.17750601,4.770
2166,136866.000,22.29989740,114.17750582,4.770
2166,136867.000,22.29988734,114.17751329,4.770
2166,136868.000,22.29988992,114.17751992,4.770
2166,136869.000,22.29988734,114.17751329,4.770
2166,136870.000,22.29988733,114.17751330,4.770
2166,136871.000,22.29988411,114.17752784,4.770
2166,136872.000,22.29989733,114.17750600,4.770
2166,136873.000,22.29989740,114.17750582,4.770
2166,136874.000,22.29990277,114.17749628,4.770
2166,136875.000,22.29990270,114.17749626,4.770
2166,136876.000,22.29990233,114.17749633,4.770
2166,136877.000,22.29951505,114.17737175,4.770
2166,136878.000,22.29951391,114.17737279,4.770
2166,136879.000,22.29950683,114.17736487,4.770
2166,136880.000,22.29951435,114.17737280,4.770
2166,136881.000,22.29952225,114.17738217,4.770
2166,136882.000,22.29952429,114.17738405,4.770
2166,136883.000,22.29953016,114.17739123,4.770
2166,136884.000,22.29951782,114.17738076,4.770
2166,136885.000,22.29953229,114.17739013,4.770
2166,136886.000,22.29990042,114.17749703,4.770
2166,136887.000,22.29986779,114.17747955,4.770
2166,136888.000,22.29990065,114.17749717,4.770
2166,136889.000,22.29989341,114.17748867,4.770
2166,136890.000,22.29951347,114.17737211,4.770
2166,136891.000,22.29952413,114.17738213,4.770
2166,136892.000,22.29952112,114.17737980,4.770
2166,136893.000,22.29953358,114.17739326,4.770
2166,136894.000,22.29952767,114.17738574,4.770
2166,136895.000,22.29954254,114.17740403,4.770
2166,136896.000,22.29955220,114.17741778,4.770
2166,136897.000,22.29953259,114.17739234,4.770
2166,136898.000,22.29952488,114.17738380,4.770
2166,136899.000,22.29953059,114.17739141,4.770
2166,136900.000,22.29952346,114.17738202,4.770
2166,136901.000,22.29952348,114.17738203,4.770
2166,136902.000,22.29952375,114.17738210,4.770
2166,136903.000,22.29952136,114.17737953,4.770
2166,136904.000,22.29952207,114.17737968,4.770
2166,136905.000,22.29951924,114.17737811,4.770
2166,136906.000,22.29951946,114.17737767,4.770
2166,136907.000,22.29951597,114.17737245,4.770
2166,136908.000,22.29952462,114.17738251,4.770
2166,136909.000,22.29990058,114.17749680,4.770
2166,136910.000,22.29990039,114.17749725,4.770
2166,136911.000,22.29989984,114.17749493,4.770
2166,136912.000,22.29990084,114.17749716,4.770
2166,136913.000,22.29990040,114.17749726,4.770
2166,136914.000,22.29990060,114.17749714,4.770
2166,136915.000,22.29990078,114.17749711,4.770
2166,136916.000,22.29990073,114.17749707,4.770
2166,136917.000,22.29990074,114.17749708,4.770
2166,136918.000,22.29990073,114.17749707,4.770
2166,136919.000,22.29990086,114.17749705,4.770
2166,136920.000,22.29990057,114.17749459,4.770
2166,136921.000,22.29990035,114.17749465,4.770
2166,136922.000,22.29990036,114.17749465,4.770
2166,136923.000,22.29990058,114.17749459,4.770
2166,136924.000,22.29990037,114.17749464,4.770
2166,136925.000,22.29990036,114.17749465,4.770
2166,136926.000,22.29989748,114.17749067,4.770
2166,136927.000,22.29989661,114.17749000,4.770
2166,136928.000,22.29990004,114.17749286,4.770
2166,136929.000,22.29990004,114.17749286,4.770
2166,136930.000,22.29989941,114.17749273,4.770
2166,136931.000,22.29986126,114.17746739,4.770
2166,136932.000,22.29983716,114.17746665,4.770
2166,136933.000,22.29981811,114.17744430,4.770
2166,136934.000,22.29981766,114.17744319,4.770
2166,136935.000,22.29981669,114.17744445,4.770
2166,136936.000,22.29981766,114.17744321,4.770
2166,136937.000,22.29983666,114.17745938,4.770
2166,136938.000,22.29984483,114.17745775,4.770
2166,136939.000,22.29983810,114.17745689,4.770
2166,136940.000,22.29984197,114.17745937,4.770
2166,136941.000,22.29986315,114.17745474,4.770
2166,136942.000,22.29986315,114.17745473,4.770
2166,136943.000,22.29984657,114.17745523,4.770
2166,136944.000,22.29989454,114.17747979,4.770
2166,136945.000,22.29989345,114.17748123,4.770
2166,136946.000,22.29989594,114.17748750,4.770
2166,136947.000,22.29982501,114.17745155,4.770
