GPS_week,GPS_tow,Latitude(deg),Longitude(deg),Altitude(m)
2175,39601.000,NaN,NaN,NaN
2175,39602.000,22.31379460,114.16990002,5.000
2175,39603.000,22.31377758,114.16990773,5.000
2175,39604.000,22.31377438,114.16990395,5.000
2175,39605.000,22.31377398,114.16989957,5.000
2175,39606.000,22.31377230,114.16990302,5.000
2175,39607.000,22.31377335,114.16990427,5.000
2175,39608.000,22.31377604,114.16990894,5.000
2175,39609.000,22.31377371,114.16990065,5.000
2175,39610.000,22.31377322,114.16990003,5.000
2175,39611.000,22.31377219,114.16990115,5.000
2175,39612.000,22.31377428,114.16990507,5.000
2175,39613.000,22.31377780,114.16990747,5.000
2175,39614.000,22.31378057,114.16990061,5.000
2175,39615.000,22.31349473,114.16967837,5.000
2175,39616.000,22.31353283,114.16975119,5.000
2175,39617.000,22.31350969,114.16970868,5.000
2175,39618.000,22.31350303,114.16971051,5.000
2175,39619.000,22.31352895,114.16973816,5.000
2175,39620.000,22.31351501,114.16970717,5.000
2175,39621.000,22.31352894,114.16973816,5.000
2175,39622.000,22.31378636,114.16991847,5.000
2175,39623.000,22.31377974,114.16991723,5.000
2175,39624.000,22.31377686,114.16990744,5.000
2175,39625.000,22.31379526,114.16992217,5.000
2175,39626.000,22.31377936,114.16991543,5.000
2175,39627.000,22.31379467,114.16992407,5.000
2175,39628.000,22.31379862,114.16992680,5.000
2175,39629.000,22.31378315,114.16991764,5.000
2175,39630.000,22.31378303,114.16991611,5.000
2175,39631.000,22.31379090,114.16992332,5.000
2175,39632.000,22.31378036,114.16991672,5.000
2175,39633.000,22.31378288,114.16991861,5.000
2175,39634.000,22.31378017,114.16991811,5.000
2175,39635.000,22.31379490,114.16992452,5.000
2175,39636.000,22.31375439,114.16989605,5.000
2175,39637.000,22.31377773,114.16991529,5.000
2175,39638.000,22.31378112,114.16991725,5.000
2175,39639.000,22.31378391,114.16991803,5.000
2175,39640.000,22.31377662,114.16991844,5.000
2175,39641.000,22.31377834,114.16991648,5.000
2175,39642.000,22.31377818,114.16991677,5.000
2175,39643.000,22.31377764,114.16991390,5.000
