382516,382516,-nan,-nan,-6292741.6544055268
382517,382517,31.2259427698,121.5285951761,-7.6713432784
382518,382518,31.2263606666,121.5290086631,57.1100346368
382519,382519,31.2263304358,121.5291000417,77.7908299146
382519,382519,31.2263121381,121.5291132859,83.4841520139
382520,382520,31.2263960684,121.5294263884,4.4786688265
382521,382521,31.2264159945,121.5294008076,17.7976753410
382522,382522,31.2268428528,121.5310545450,-301.1009181317
382523,382523,31.2266691729,121.5294120006,34.1915980050
382524,382524,31.2266939621,121.5294924755,-11.2547119326
382525,382525,31.2267130427,121.5293254207,4.4729904905
382526,382526,31.2267016245,121.5292260925,36.6408906212
382527,382527,31.2266021324,121.5293632274,38.7295954691
382528,382528,31.2265743238,121.5293443671,60.1015792397
382529,382529,31.2264772474,121.5289211236,181.9768918713
382530,382530,31.2265463067,121.5292658136,54.5423907355
382531,382531,31.2266832253,121.5291317838,27.1227237746
382532,382532,31.2267442614,121.5290987767,5.6067729220
382533,382533,31.2267764294,121.5290559438,18.6693478196
382534,382534,-nan,-nan,-6292741.6544055268
382537,382537,31.2266974950,121.5289427950,72.5892342014
382538,382538,31.2267893901,121.5292118279,24.8129678777
382539,382539,31.2267397886,121.5292597482,14.1689190217
382540,382540,31.2267138833,121.5293232522,12.4143645784
382541,382541,31.2266952014,121.5293460297,12.8775643332
382542,382542,31.2267018182,121.5293211892,10.0764036945
382543,382543,31.2267015359,121.5293073013,12.1663402478
382544,382544,31.2266616510,121.5293111747,18.8646500607
382545,382545,31.2265178869,121.5291032350,59.3460909044
382546,382546,31.2266010210,121.5290101850,59.3250159939
382547,382547,31.2266315528,121.5290305809,71.4460259635
382548,382548,31.2266457587,121.5290352292,81.4274153871
382549,382549,31.2266354310,121.5290401908,82.7814217036
382550,382550,31.2266204846,121.5291358620,64.3871440492
382551,382551,31.2266343675,121.5291662971,54.7757283845
382552,382552,31.2268083320,121.5294556132,-8.5974361964
382553,382553,31.2267910153,121.5294107478,-5.3476998285
382554,382554,31.2267358598,121.5293127174,7.5367504062
382555,382555,31.2267196866,121.5292715849,12.2515707984
382556,382556,31.2266878301,121.5292584749,3.8609244030
382557,382557,31.2266766964,121.5292370410,2.6385610661
382558,382558,31.2266897303,121.5292432392,-4.5986097054
382559,382559,31.2266201336,121.5290413125,48.0903251718
