382516,382516,-nan,-nan,-nan
382517,382517,31.2261298165,121.5287473953,32.5303160980
382518,382518,31.2263357758,121.5290655644,42.6270884850
382519,382519,31.2263634307,121.5291552121,53.0205663567
382519,382519,31.2264029915,121.5292062281,72.8776555623
382520,382520,31.2263710845,121.5292520103,87.3368650840
382521,382521,31.2264070582,121.5291852519,96.9358780121
382522,382522,31.2264687748,121.5291447006,118.5264688779
382523,382523,31.2265603251,121.5292123564,108.4649456705
382524,382524,31.2266497707,121.5291122667,102.3554303591
382525,382525,31.2266302435,121.5290222555,130.4080702823
382527,382527,31.2265842619,121.5290620249,122.2706292253
382528,382528,31.2266688458,121.5290836865,59.1114833880
382532,382532,31.2267604524,121.5290589419,52.0316245948
382533,382533,31.2266993655,121.5289099015,51.9337698659
382538,382538,31.2266605499,121.5289924017,71.3314421746
382539,382539,31.2268127084,121.5291546589,76.0803793075
382541,382541,31.2267578605,121.5291513566,62.4054933774
382542,382542,31.2267081638,121.5292248619,52.8612769309
382545,382545,31.2266961687,121.5291855533,58.5263178156
382546,382546,31.2266917512,121.5291189909,83.9563491538
382549,382549,31.2266739684,121.5291337329,82.2758181696
382550,382550,31.2266474694,121.5291705433,57.1139149823
382554,382554,31.2266766096,121.5292103016,50.4249035146
382555,382555,31.2266769797,121.5291794077,37.2307218499
382560,382560,31.2266630018,121.5291240294,40.6087191182
382561,382561,31.2265748342,121.5291766947,42.1635506006
382564,382564,31.2265848980,121.5291685477,60.9620557049
382565,382565,31.2266257241,121.5291949063,54.7012332322
382568,382568,31.2266078234,121.5292226220,48.9575544297
382569,382569,31.2266236267,121.5291527656,89.8821541581
382572,382572,31.2265740936,121.5291245652,93.3801918276
382573,382573,31.2266398871,121.5291791253,60.9698735316
382576,382576,31.2266621067,121.5293974875,17.6092368708
382577,382577,31.2263683898,121.5293587277,88.9927827099
382580,382580,31.2263702137,121.5294256668,100.5000743227
382581,382581,31.2263587211,121.5294444305,111.9458788374
382585,382585,31.2264053169,121.5294480776,118.5367923419
382586,382586,31.2264833656,121.5293623226,125.1625121203
382589,382589,31.2265110896,121.5292942649,113.0163071057
382590,382590,31.2267883282,121.5291595376,27.9536693328
382593,382593,31.2268280256,121.5290987852,19.2159522913
382594,382594,31.2269043500,121.5291773515,41.0370353959
382597,382597,31.2268917128,121.5291602749,42.6336757925
382598,382598,31.2268897192,121.5291553907,15.1463191986
382601,382601,31.2268512592,121.5291671429,20.6684989475
382602,382602,31.2267371505,121.5292107738,56.9767366685
382605,382605,31.2267189279,121.5291863362,58.4859775452
382606,382606,31.2267520041,121.5291603673,54.3173748300
382609,382609,31.2267412032,121.5291364452,57.0544455358
382610,382610,31.2265770613,121.5290960672,-25.6892534297
382613,382613,31.2265157391,121.5291467127,-33.9236164267
382617,382617,31.2264452548,121.5291511469,-15.9956439096
382618,382618,31.2263241811,121.5291739568,46.3124716999
382621,382621,31.2262990740,121.5291219602,60.9801489070
382622,382622,31.2264262869,121.5292899308,141.5788033640
382625,382625,31.2263615900,121.5293996005,166.3584699933
382626,382626,31.2263104980,121.5295183680,141.0343492066
382629,382629,31.2262492944,121.5294802632,140.2337543697
382630,382630,31.2262528499,121.5294629174,120.9881039817
382633,382633,31.2262778049,121.5293319654,97.7807824872
382634,382634,31.2261681269,121.5293572416,159.9708856977
382637,382637,31.2261462779,121.5294110066,161.4504548467
382638,382638,31.2261777436,121.5294694066,160.7867298739
382641,382641,31.2262129893,121.5295147487,157.4325903392
382642,382642,31.2262221026,121.5292460648,161.5001762588
382645,382645,31.2262257316,121.5292723703,153.4760876562
382646,382646,31.2261901188,121.5292806868,148.9918533585
382649,382649,31.2263390567,121.5292637898,146.2145550396
382650,382650,31.2265801952,121.5291929687,113.8472736147
382653,382653,31.2265967360,121.5292451875,93.0368204791
382654,382654,31.2262389371,121.5296584017,131.3713265515
382657,382657,31.2263193338,121.5296486124,126.2666541147
382661,382661,31.2265833917,121.5295847626,100.4600570474
382662,382662,31.2266545784,121.5295986273,105.2483337314
382665,382665,31.2268253434,121.5295073672,102.6187514022
382666,382666,31.2270076690,121.5295509368,81.2574422918
382669,382669,31.2270293927,121.5295505274,91.8502304510
382670,382670,31.2267319288,121.5294195261,122.1096192879
382673,382673,31.2264787424,121.5291608904,155.9660645842
382677,382677,31.2262698567,121.5292314506,123.4139722880
382678,382678,31.2263946496,121.5293453490,110.5860592813
382681,382681,31.2265030277,121.5293089334,103.8388824135
382682,382682,31.2266051126,121.5292981144,67.4053856581
382685,382685,31.2266893784,121.5291700130,39.9836984498
382686,382686,31.2267070369,121.5291195091,74.2785108372
382689,382689,31.2266653580,121.5290623112,74.0024218345
382690,382690,31.2266422327,121.5289989550,52.0813681784
382693,382693,31.2266597664,121.5289608810,54.1299799127
382694,382694,31.2265832727,121.5290197702,72.4677232502
382697,382697,31.2266117164,121.5290365780,64.3637245860
382698,382698,31.2264741461,121.5291468462,41.0893867266
382702,382702,31.2265081566,121.5291266778,40.3872173810
382703,382703,31.2264875214,121.5291238333,30.3867238918
382708,382708,31.2264266004,121.5291684434,48.2288913679
382709,382709,31.2263007931,121.5292346380,56.0897519407
382711,382711,31.2262608186,121.5292142669,58.3653950556
382712,382712,31.2261926559,121.5292970742,62.4110460567
382715,382715,31.2261472219,121.5293161828,70.7108560885
382716,382716,31.2261181789,121.5292894040,61.6926782666
382719,382719,31.2261227779,121.5292566573,56.5711755486
382720,382720,31.2260041325,121.5292608859,77.1434009859
382723,382723,31.2259537763,121.5292443672,85.8494362802
382724,382724,31.2259836696,121.5291305701,76.1412753051
382727,382727,31.2259697018,121.5291869271,82.0922824672
382728,382728,31.2259283346,121.5290602609,104.4615137705
382731,382731,31.2259224729,121.5290270404,109.8931011814
382732,382732,31.2258492036,121.5290888598,142.8956910565
382735,382735,31.2258128155,121.5290534244,153.5294697772
382736,382736,31.2261434002,121.5286289235,69.6121780452
382739,382739,31.2261636559,121.5286298226,63.0925106452
382740,382740,31.2260191772,121.5287204900,63.6995215064
382744,382744,31.2260403420,121.5286197075,77.9266254400
382745,382745,31.2259731495,121.5287028483,85.6269859182
382750,382750,31.2259551503,121.5287910620,78.3545217571
382751,382751,31.2258682080,121.5289524677,77.3334575622
382753,382753,31.2258517893,121.5289719835,72.0696206349
382754,382754,31.2257063904,121.5291959100,57.4039504015
382758,382758,31.2256448859,121.5292272770,55.3955333454
382759,382759,31.2255736879,121.5291610053,89.6517765633
382764,382764,31.2255795884,121.5290868020,90.8767467680
382765,382765,31.2255044388,121.5291359936,84.4674454674
382767,382767,31.2255375578,121.5290435983,83.2123871856
382768,382768,31.2255366465,121.5290457353,70.4512632633
382771,382771,31.2255185336,121.5288876600,88.9579847758
382772,382772,31.2255784003,121.5284621228,122.1131890472
382775,382775,31.2255968044,121.5283918830,131.5254874820
382776,382776,31.2255956547,121.5283686333,131.7910796376
382779,382779,31.2256585351,121.5282885351,138.2278275909
382780,382780,31.2256693532,121.5282415577,124.6186256180
382783,382783,31.2257137603,121.5281993298,141.4307280106
382784,382784,31.2257252182,121.5280227139,170.5811460406
382787,382787,31.2257097027,121.5279997288,191.1102410976
382788,382788,31.2257254351,121.5277997631,223.8834366401
382791,382791,31.2257557332,121.5277211730,234.2672184519
382792,382792,31.2256572703,121.5276638839,241.0156808700
382795,382795,31.2256692362,121.5275884527,233.7526869281
382796,382796,31.2257390506,121.5274692575,237.5394538809
382799,382799,31.2257792708,121.5275525434,243.7116397515
382800,382800,31.2258221646,121.5273474245,268.7950850524
382804,382804,31.2258618240,121.5273526325,255.5525119220
382808,382808,31.2258346030,121.5272667971,272.3164276708
382809,382809,31.2258551855,121.5273260494,257.7034338695
382810,382810,31.2259648923,121.5274447543,259.1184263963
382811,382811,31.2261032724,121.5274300440,283.7311772858
382813,382813,31.2260799931,121.5274734135,273.3457598725
382814,382814,31.2261663636,121.5279163422,181.5993454987
382817,382817,31.2261890716,121.5278501641,202.0729975433
382818,382818,31.2261814505,121.5278553070,199.7366869518
382821,382821,31.2262074426,121.5278712005,210.2492576873
382822,382822,31.2262544942,121.5278301967,171.8845966717
382825,382825,31.2262481360,121.5278164141,146.4353161922
382826,382826,31.2263134851,121.5278882087,129.5751563323
382829,382829,31.2262768179,121.5279758032,117.0601718388
382830,382830,31.2263115769,121.5280638166,82.3872386394
382833,382833,31.2262883907,121.5281071084,74.1531257385
382834,382834,31.2263366683,121.5281645885,83.9391855347
382837,382837,31.2263413148,121.5281859663,82.5405913818
382838,382838,31.2264397241,121.5281906436,79.3695085031
382841,382841,31.2264077892,121.5282487289,99.4236438985
382842,382842,31.2263243266,121.5285989050,132.4460886093
382845,382845,31.2262845727,121.5286114150,138.0051725235
382846,382846,31.2262841406,121.5284925778,172.0743708095
382850,382850,31.2262984642,121.5285156719,168.7831398066
382851,382851,31.2262800034,121.5285347397,204.2311344807
382856,382856,31.2263381778,121.5285746010,189.9343492722
382857,382857,31.2262901865,121.5286682928,190.0582281757
382859,382859,31.2262611900,121.5286716897,189.1560449674
382860,382860,31.2260834254,121.5290891561,196.3472823471
382864,382864,31.2261447043,121.5289784846,182.9023325499
382865,382865,31.2260791631,121.5290379904,185.1985063404
382870,382870,31.2261600301,121.5288430176,187.6718629435
382871,382871,31.2261936835,121.5288043576,158.5571478749
382873,382873,31.2261315712,121.5288744310,181.6839611142
382874,382874,31.2261527207,121.5288605189,172.8680955495
382877,382877,31.2260783397,121.5288577047,195.8835560157
382878,382878,31.2260605352,121.5289005791,185.7850552276
382881,382881,31.2260702371,121.5288490078,160.2004118391
382882,382882,31.2260362720,121.5288383517,144.9103088743
382885,382885,31.2260420171,121.5288457951,121.3248479337
382886,382886,31.2259951317,121.5288304490,117.4549553146
382890,382890,31.2260192215,121.5287719284,113.7712900015
382891,382891,31.2260207348,121.5288146884,91.1577981026
382895,382895,31.2260446774,121.5288497069,88.2197026546
382896,382896,31.2260702920,121.5288288601,80.7437359085
382897,382897,31.2261259464,121.5288726220,77.9188277405
382899,382899,31.2261163035,121.5288824182,65.2580056456
382900,382900,31.2261163601,121.5288973739,66.2937007363
382903,382903,31.2261340545,121.5288943801,75.4752952700
382904,382904,31.2261845275,121.5289585373,80.2865383633
382907,382907,31.2261731812,121.5289649529,67.3298054843
382908,382908,31.2261724297,121.5291220976,83.4329332159
382911,382911,31.2261875606,121.5291833042,88.4286001343
382912,382912,31.2261363873,121.5292693731,108.1941641643
382915,382915,31.2261066283,121.5293120245,119.7739617528
382916,382916,31.2260854574,121.5295514709,133.9224281317
382920,382920,31.2261326243,121.5295200193,156.8105813333
382921,382921,31.2261833072,121.5294427885,166.4423401755
382925,382925,31.2261866772,121.5295181664,152.7826241262
382926,382926,31.2262327143,121.5296065138,138.1537007642
382927,382927,31.2264848758,121.5293317776,63.7759690675
382933,382933,31.2265574601,121.5293005717,53.8739413932
382934,382934,31.2267210005,121.5291814378,30.6819806301
382937,382937,31.2266974675,121.5292114120,23.7060268763
382938,382938,31.2268143884,121.5293083217,59.4212843211
382946,382946,31.2268177629,121.5293732039,59.2015688742
382947,382947,31.2267730795,121.5293535995,51.6553944838
382950,382950,31.2267759401,121.5293205322,56.9513338321
382951,382951,31.2267610157,121.5292377825,57.1141702126
382955,382955,31.2267821315,121.5292521995,66.1057493436
382956,382956,31.2267866162,121.5294160233,50.4018841921
382963,382963,31.2268071619,121.5294067681,41.5408387514
382964,382964,31.2266865754,121.5291891081,76.6891764524
382967,382967,31.2267309731,121.5291942964,98.8958524161
382968,382968,31.2267931934,121.5293937585,65.9119368804
382971,382971,31.2267249531,121.5293660310,81.3826227299
382972,382972,31.2268805023,121.5295070629,40.3000170296
382975,382975,31.2268299008,121.5293494020,74.4213328406
382976,382976,31.2268860538,121.5293724304,79.8643367690
382979,382979,31.2268601061,121.5293543400,84.0056686352
382980,382980,31.2266776123,121.5291306453,87.5114770248
382983,382983,31.2267100221,121.5291586752,99.4633423349
382984,382984,31.2267440374,121.5291558353,102.4770412154
382987,382987,31.2267625840,121.5291241469,110.1072556445
382988,382988,31.2268652398,121.5293253053,103.5724107653
382991,382991,31.2269001878,121.5293805290,100.4521315929
382992,382992,31.2270093711,121.5295883085,88.2677846919
382995,382995,31.2270009951,121.5294795823,84.8925514059
382996,382996,31.2268401105,121.5293034659,80.1201804730
382999,382999,31.2268454699,121.5293239859,86.5113022474
383000,383000,31.2268555475,121.5291468746,67.6568707759
383004,383004,31.2268242427,121.5291161350,72.2707658947
383005,383005,31.2267389329,121.5292051278,72.8047255224
383009,383009,31.2267134507,121.5292604613,67.8700022637
383010,383010,31.2266915450,121.5292583548,58.2100866907
383012,383012,31.2266878661,121.5292657638,71.9348685047
383013,383013,31.2266943144,121.5291109846,60.7441250388
383016,383016,31.2267119951,121.5290784198,56.3761939723
383017,383017,31.2267205852,121.5290519912,59.7958374195
383021,383021,31.2267865002,121.5289925825,54.8034142487
383022,383022,31.2267845919,121.5290356009,39.8002478846
383027,383027,31.2267506594,121.5289131453,55.4335757640
383028,383028,31.2266515211,121.5289559531,60.0405647951
383030,383030,31.2266129303,121.5289674051,72.3520879656
383031,383031,31.2265649479,121.5291082845,89.5614402243
383034,383034,31.2266069381,121.5290682213,85.1539239277
383035,383035,31.2265885111,121.5290156622,68.6715826835
383038,383038,31.2266660685,121.5290364350,66.5197697543
383039,383039,31.2267137755,121.5290173716,50.4055220482
383042,383042,31.2266725206,121.5289962613,57.0379000916
383043,383043,31.2266477564,121.5289711449,67.2616062349
383046,383046,31.2266713396,121.5289355618,72.2557000660
383047,383047,31.2266731414,121.5289407987,99.4443218918
383050,383050,31.2266591491,121.5290101208,105.1407192185
383054,383054,31.2266670305,121.5290348806,117.7782309086
383055,383055,31.2266379753,121.5291160005,113.3990730656
383058,383058,31.2267196899,121.5292002553,134.6009754977
383059,383059,31.2268843907,121.5292131940,110.0901641261
383062,383062,31.2269147365,121.5292356024,94.8259881864
383063,383063,31.2268064521,121.5290407688,53.9034769185
383066,383066,31.2268158296,121.5290238547,48.9774045142
383067,383067,31.2265513654,121.5289125652,85.5092519183
383070,383070,31.2265628422,121.5288863131,85.7742438032
383071,383071,31.2266965218,121.5291514286,99.0816272893
383074,383074,31.2267804341,121.5292410295,89.9738403503
383075,383075,31.2268027643,121.5291344492,79.2860806850
383078,383078,31.2267945830,121.5291137514,91.0811048369
383079,383079,31.2266816888,121.5290216360,112.2645099623
383082,383082,31.2266341337,121.5290107493,119.3520847994
383083,383083,31.2266269247,121.5290411562,83.0324162370
383086,383086,31.2265853816,121.5290969576,93.8725746572
383087,383087,31.2264331607,121.5293203039,142.5731893364
383090,383090,31.2263685506,121.5294225977,151.2437574049
383091,383091,31.2264073092,121.5292979601,169.0028685967
383094,383094,31.2264347835,121.5292807652,162.3724147382
383095,383095,31.2263576383,121.5293802174,143.4417107299
383101,383101,31.2263840246,121.5293681913,118.0097566445
383102,383102,31.2267301528,121.5290814051,32.9609311002
383103,383103,31.2267074429,121.5291265825,36.9411643723
383104,383104,31.2267361602,121.5292101052,56.3373794312
383107,383107,31.2267046250,121.5292471329,73.7638135555
383108,383108,31.2266143888,121.5291591439,99.3218169826
383111,383111,31.2266009895,121.5291478137,94.6885299492
383115,383115,31.2266077742,121.5290750075,97.3847568101
383116,383116,31.2266893875,121.5290883272,102.4458938225
383119,383119,31.2266982787,121.5291344459,93.9198645213
383120,383120,31.2267192572,121.5291599103,120.5186305771
383123,383123,31.2267657090,121.5291870538,131.8655674516
383124,383124,31.2264952938,121.5290598912,115.9585695896
383131,383131,31.2264640546,121.5291014410,112.7407007169
383132,383132,31.2265533185,121.5293218708,93.1507881623
383139,383139,31.2265753816,121.5293552328,100.7628467443
383140,383140,31.2267045889,121.5293964159,58.6568252435
383147,383147,31.2266993712,121.5293240830,57.2545706494
383148,383148,31.2265604781,121.5293121302,104.7828244291
383151,383151,31.2265585927,121.5293118414,114.7415675817
383152,383152,31.2265623590,121.5293264119,102.2628943146
383155,383155,31.2265489495,121.5292967004,114.2368126220
383156,383156,31.2265110543,121.5292491767,118.5632738640
383159,383159,31.2265150746,121.5292340567,108.1030008233
383160,383160,31.2265836816,121.5291856917,107.1996691754
383163,383163,31.2265644712,121.5291552459,120.2374376342
383164,383164,31.2265305924,121.5291651424,139.0953396474
383167,383167,31.2265192710,121.5291256957,143.3638167814
383168,383168,31.2264856665,121.5291733863,139.0223358720
383171,383171,31.2265016562,121.5289801233,112.9206486887
383172,383172,31.2267587550,121.5290165148,44.9867990445
383175,383175,31.2267257217,121.5289989841,57.4138599358
383179,383179,31.2267094003,121.5290347107,49.5019711059
383180,383180,31.2266865814,121.5289758172,34.3172453504
383183,383183,31.2266687389,121.5289383813,37.4641745321
383184,383184,31.2265314265,121.5290914841,118.6601579761
383191,383191,31.2265178851,121.5290368040,114.7829643427
383192,383192,31.2266166138,121.5289906849,97.1908817693
383195,383195,31.2266417251,121.5290137389,83.5369287400
383196,383196,31.2266308429,121.5289995430,89.4242497754
383200,383200,31.2266257025,121.5290807518,93.8685212241
383201,383201,31.2266345254,121.5290496222,116.1571645624
383203,383203,31.2266393144,121.5290301282,110.3195096783
383204,383204,31.2266270918,121.5289917808,112.6083950461
383207,383207,31.2266305097,121.5290010304,116.7232127741
383208,383208,31.2265691784,121.5289950639,155.8344537192
383211,383211,31.2266023438,121.5290208508,157.6495206280
383212,383212,31.2266722246,121.5289749029,131.3871538816
383215,383215,31.2266422674,121.5289530345,128.7303784955
383216,383216,31.2264451953,121.5290004048,149.7491088961
383219,383219,31.2264935088,121.5289447688,163.8779727120
383220,383220,31.2264229130,121.5291245101,189.6610077015
383223,383223,31.2264727626,121.5291147652,183.3150309069
383224,383224,31.2264402328,121.5291985439,177.3246874846
383227,383227,31.2264839900,121.5291738025,175.6668117236
383228,383228,31.2266390674,121.5291171760,152.9937238470
383231,383231,31.2266170513,121.5291657750,149.8026439460
383232,383232,31.2265973731,121.5292547446,111.0936573086
383235,383235,31.2266598096,121.5292377594,101.5140525763
383236,383236,31.2267220583,121.5291837520,72.9298664680
383239,383239,31.2267501103,121.5290902969,59.9660455757
383240,383240,31.2266364009,121.5290871084,56.2391529761
383243,383243,31.2265314063,121.5291410974,78.2239907812
383244,383244,31.2263811514,121.5292245104,119.9696237991
383247,383247,31.2263854229,121.5292432126,121.7737772609
383248,383248,31.2265821045,121.5289819060,22.7354763172
383251,383251,31.2265634552,121.5289859230,12.3011089525
383252,383252,31.2264879701,121.5290098329,27.3072440087
383255,383255,31.2264623288,121.5290447927,32.1712149981
383256,383256,31.2263428913,121.5291672410,48.8908306558
383259,383259,31.2262927785,121.5292091014,64.8036191660
383260,383260,31.2261634199,121.5293598275,79.1679530348
383263,383263,31.2260862455,121.5294312231,91.0869117846
383264,383264,31.2258835763,121.5294576734,151.4250416216
383267,383267,31.2258397995,121.5293937111,178.1877904098
383268,383268,31.2258735457,121.5293795139,153.1002812618
383271,383271,31.2259325717,121.5292782245,129.9020193771
383272,383272,31.2258187463,121.5293690253,121.8292137789
383276,383276,31.2258454737,121.5293641456,122.9605536351
383277,383277,31.2259612068,121.5289350683,110.8404985820
383282,383282,31.2260033087,121.5288822640,102.5660587769
383283,383283,31.2260746852,121.5288218657,96.4933688912
383285,383285,31.2261148622,121.5287179459,84.7696459876
383286,383286,31.2261541470,121.5286371736,61.2190453118
383289,383289,31.2261365708,121.5286124744,46.8562459537
383290,383290,31.2261258500,121.5285978963,33.7789472218
383293,383293,31.2261195277,121.5285747738,30.1681749063
383294,383294,31.2258484716,121.5289741567,67.0133268037
383297,383297,31.0417631018,122.1284672302,-34293.5604782809
383298,383298,30.9508344516,122.7204847775,-73571.7735426275
383301,383301,30.7407461086,122.6148697042,-41777.4109709637
383302,383302,31.2256923620,121.5289066471,82.0693201845
383305,383305,31.2257031307,121.5288969583,78.5209723624
383306,383306,31.2255944638,121.5288939911,120.1269086963
383310,383310,31.2255623197,121.5288626513,119.6383250068
383311,383311,31.2255159288,121.5287992032,104.9264501626
383316,383316,31.2255185914,121.5288044333,105.0340501490
383317,383317,31.2254611408,121.5288443387,101.8471885269
383319,383319,31.2254509740,121.5287925881,99.8532905071
383320,383320,31.2254924104,121.5283918032,135.2613137663
383324,383324,31.2255070261,121.5283340506,145.4369671978
383325,383325,31.2255083660,121.5283437491,157.8149943070
383329,383329,31.2255308025,121.5283239954,148.3932274731
383330,383330,31.2257162464,121.5282239809,144.5724493262
383331,383331,31.2257770946,121.5279575694,148.5319616699
383337,383337,31.2257529571,121.5278594528,172.2765077612
383338,383338,31.2258732060,121.5277116296,224.3500067933
383346,383346,31.2258900941,121.5277425997,236.8608953345
383347,383347,31.2259479530,121.5276184097,213.0638460164
383350,383350,31.2259444360,121.5275848647,216.4376243747
383351,383351,31.2259803246,121.5276508373,205.9688390744
383355,383355,31.2259268742,121.5274747367,213.3982570217
383356,383356,31.2261144563,121.5276814288,199.6167501793
383363,383363,31.2261063560,121.5276428826,210.8693624760
383364,383364,31.2260788695,121.5277504746,206.9825510418
383367,383367,31.2260971554,121.5277668125,216.0256349656
383368,383368,31.2263070582,121.5278988671,146.2310731521
383371,383371,31.2263266641,121.5279103316,135.3147684539
383372,383372,31.2263297920,121.5279937680,115.4473796241
383375,383375,31.2263246483,121.5279681817,115.2172765283
383376,383376,31.2263682916,121.5280093861,84.0273779427
383379,383379,31.2263660025,121.5280441518,80.0431814076
383380,383380,31.2263928010,121.5280817120,91.0046469890
383383,383383,31.2264288939,121.5280925565,100.0793840936
383384,383384,31.2264824180,121.5281649061,87.6424395253
383387,383387,31.2264993075,121.5281761698,97.0502808313
383388,383388,31.2265058235,121.5283712249,97.1997401901
383391,383391,31.2264233929,121.5283417972,97.3057296182
383392,383392,31.2262810484,121.5285711235,117.3228038649
383395,383395,31.2262346562,121.5285828672,119.9931900388
383396,383396,31.2263974595,121.5281444989,123.8456144600
383399,383399,31.2263080163,121.5281962556,135.3441791565
383400,383400,31.2262903018,121.5282866445,163.1290903079
383403,383403,31.2264354539,121.5281827930,175.9952024581
383404,383404,31.2263779796,121.5283297420,164.5371642279
383407,383407,31.2263593474,121.5284307216,168.1401897765
383408,383408,31.2263886079,121.5284776294,157.8844566789
383411,383411,31.2263713843,121.5286044101,149.2474690114
383412,383412,31.2264028669,121.5285337751,136.3705623781
