377054,377054,-nan,-nan,-nan
377055,377055,-nan,-nan,-nan
377056,377056,31.2439264949,121.5037803909,756.3187975825
377057,377057,31.2424175659,121.5012286489,549.9183935958
377057,377057,31.2582306345,121.4829063037,-976.2808640341
377058,377058,31.2653041238,121.4597145694,-860.5123633456
377059,377059,31.2583975023,121.4744092049,-213.5234585701
377060,377060,31.2417611735,121.5013508511,271.5917057712
377061,377061,31.3149914696,121.3902009680,-14762.6297475677
377062,377062,31.2896008430,121.4541802681,-6471.9048149988
377063,377063,31.2902212189,121.4728934589,-4848.4579006894
377064,377064,31.2858987279,121.4573392001,-624.0929986973
377065,377065,31.2812389056,121.4671275487,-1195.4543316675
377066,377066,31.2613177455,121.4772218995,24.8320878918
377067,377067,31.2389992051,121.4971485291,755.9693591827
377068,377068,31.2405937082,121.4977182884,459.4165409807
377069,377069,31.2408904867,121.4996461357,443.3928054757
377070,377070,31.2404515985,121.4981569614,480.4480031090
377071,377071,31.2405109591,121.4987567738,517.7371104366
377072,377072,31.2402678686,121.4986387704,570.0645189528
377073,377073,31.2413313312,121.5004366195,341.8971461966
377074,377074,31.2414267864,121.5007048315,274.2534600663
377075,377075,31.2416875979,121.5004705440,206.3453264052
377076,377076,31.2414732748,121.5006116219,229.1195401258
377077,377077,31.2413813471,121.5013454128,262.0954827114
377078,377078,31.2416093638,121.5012076373,188.1931555365
377079,377079,31.2411964437,121.5007604401,406.9257919185
377080,377080,31.2413420531,121.5008921579,268.8162477064
377081,377081,31.2413986968,121.5013958254,274.2351448956
377082,377082,31.2416227396,121.5012471669,261.9899953395
377083,377083,31.2418707753,121.5010657811,253.6394524510
377084,377084,31.2417896939,121.5011258070,236.7970021520
377085,377085,31.2417944775,121.5013313879,217.6967219781
377086,377086,31.2417653017,121.5012623392,240.6207985264
377087,377087,31.2417548887,121.5013677305,205.8307937786
377088,377088,31.2416924368,121.5013051838,241.8963901940
377089,377089,31.2416177076,121.5014117408,284.7262430029
377090,377090,31.2415733572,121.5015262022,266.2444069319
377091,377091,31.2417020497,121.5014564910,256.0520101499
377092,377092,31.2417061514,121.5015152985,263.5626466945
377093,377093,31.2417254394,121.5017403857,310.6668647880
377094,377094,31.2417825726,121.5017683358,306.2040946853
377095,377095,31.2416347765,121.5016959075,339.7970067866
377096,377096,31.2418043884,121.5016018957,340.4019158552
377097,377097,31.2420091517,121.5013677004,327.8860881724
377098,377098,31.2415637459,121.5012033561,399.4819182101
377099,377099,31.2415632541,121.5014535568,425.6653510977
377100,377100,31.2415532954,121.5014695698,409.9889552584
377101,377101,31.2414451429,121.5010761701,361.9311357234
377102,377102,31.2412422636,121.5009495455,439.4140546966
377103,377103,31.2413887187,121.5009530768,396.1536016587
377104,377104,31.2401144165,121.4980478150,1277.5857670393
377105,377105,31.2407259190,121.4993423609,897.7024413370
377106,377106,31.2414405845,121.5010167668,394.3908362869
377107,377107,31.2413828601,121.5010685675,436.6008502399
377108,377108,31.2414081446,121.5010567958,371.3955410087
377109,377109,31.2416232909,121.5015125360,314.8499578724
377110,377110,31.2416575569,121.5013687115,261.4922608241
377111,377111,31.2413494366,121.5009106229,335.6379799432
377112,377112,31.2413936260,121.5008720414,311.9313606416
377113,377113,31.2415341903,121.5009968988,300.9778849280
377114,377114,31.2415820894,121.5010812934,307.7641626642
377115,377115,31.2418639720,121.5015866844,309.0369176399
377116,377116,31.2421024311,121.5015836111,286.6132724179
377117,377117,31.2418122891,121.5014812758,303.4011950703
377118,377118,31.2416556902,121.5016341058,297.4698544111
377119,377119,31.2418647650,121.5014030642,220.6610533006
377120,377120,31.2418168964,121.5012546758,215.0162079646
377121,377121,31.2418624555,121.5012032167,205.6692036133
377122,377122,31.2418397517,121.5009953462,220.2284290286
377123,377123,31.2417656835,121.5008812921,224.0684835964
377124,377124,31.2417183107,121.5008544069,243.6208022174
377125,377125,31.2416009852,121.5009056640,250.0248115833
377126,377126,31.2416546502,121.5011149712,259.3180181370
377127,377127,31.2413291032,121.5013584498,362.6071790530
377128,377128,31.2412693199,121.5012869198,381.5665461503
377129,377129,31.2411883173,121.5012055787,357.1676276354
377130,377130,31.2411341843,121.5012373201,357.8535543741
377131,377131,31.2411430742,121.5010565103,368.9046757757
377132,377132,31.2411088298,121.5010338226,372.0067934871
377133,377133,31.2410512322,121.5009227103,372.9298181014
377134,377134,31.2406385622,121.5024269144,163.3474956724
377135,377135,31.2406105444,121.5024440634,169.9129261474
377136,377136,31.2401415980,121.5014204456,530.2844720673
377137,377137,31.2405950104,121.5024223064,169.8686909571
377138,377138,31.2406042352,121.5025378637,147.9786873841
377139,377139,31.2405994328,121.5026427158,134.3986395825
377140,377140,31.2406180575,121.5027110853,106.3376443515
377141,377141,31.2405964280,121.5027715251,90.5824117750
377142,377142,31.2405987536,121.5028489818,72.4212474770
377143,377143,31.2406074790,121.5028579076,65.5123143166
377144,377144,31.2406161198,121.5028403670,65.2399169115
377145,377145,31.2406499092,121.5028189746,62.1460983052
377146,377146,31.2406284771,121.5028670994,60.6348608774
377147,377147,31.2407113069,121.5028449986,42.2930184853
377148,377148,31.2402835061,121.5034597857,144.4841615866
377149,377149,31.2410562309,121.5024865619,102.8772154615
377150,377150,31.2408141587,121.5027359482,27.4864721145
377151,377151,31.2407966099,121.5028401148,15.2004826939
377152,377152,31.2407819590,121.5029007816,-6.7462210917
377153,377153,31.2407107593,121.5028277601,-2.9088756806
377154,377154,31.2407570577,121.5027310757,6.4952176178
377155,377155,31.2408421684,121.5029774583,22.4941936499
377156,377156,31.2409445263,121.5032931401,-19.5153723555
377157,377157,31.2409670191,121.5033802634,-35.0535515110
377158,377158,31.2410664954,121.5035550065,-106.7321009926
377159,377159,31.2409229683,121.5031620295,11.8841731717
377160,377160,31.2409147408,121.5031543381,13.1531927653
377161,377161,31.2408513769,121.5031186808,2.0736653460
377162,377162,31.2407918458,121.5031850475,9.2233232818
377163,377163,31.2407924354,121.5030399643,52.6270082384
377164,377164,31.2407591415,121.5029946374,69.1576771196
377165,377165,31.2407333941,121.5029916635,76.2499569788
377166,377166,31.2406916142,121.5029831035,83.8152555806
377167,377167,31.2407036656,121.5031217900,71.8305155127
377168,377168,31.2406586008,121.5031080768,66.7106049343
377169,377169,31.2407670112,121.5029076977,88.8780171993
377170,377170,31.2407077215,121.5029011314,84.7283663129
377171,377171,31.2406661670,121.5030283402,73.8129273124
377172,377172,31.2407077883,121.5030361193,73.8559030162
377173,377173,31.2407776289,121.5030494845,61.2706670428
377174,377174,31.2405675132,121.5032156249,37.6138819441
377175,377175,31.2407346667,121.5030319413,64.9768861220
377176,377176,31.2408220637,121.5029088900,83.4092940024
377177,377177,31.2409115649,121.5027835423,99.3006183273
377178,377178,31.2409034895,121.5027926442,116.8503785227
377179,377179,31.2408001463,121.5027800212,94.4303649850
377180,377180,31.2407255736,121.5031644254,146.9072932414
377181,377181,31.2408045101,121.5029880938,103.1575712893
377182,377182,31.2409281461,121.5028676654,128.5672036471
377183,377183,31.2409224708,121.5030818238,165.6594955387
377184,377184,31.2409490632,121.5030822675,177.3964062530
377185,377185,31.2410039692,121.5030525085,182.9998166678
377186,377186,31.2416080126,121.5021971198,91.2259564464
377187,377187,31.2413940146,121.5020850118,107.4530811962
377188,377188,31.2412983787,121.5021640597,176.5039289572
377189,377189,31.2412488302,121.5025485774,209.3275208541
377190,377190,31.2414112069,121.5024892237,197.5456451836
377191,377191,31.2416430128,121.5018544282,366.9152494178
377192,377192,31.2417930253,121.5013440378,453.0074394929
377193,377193,31.2418308696,121.5011343975,414.1064810016
377194,377194,31.2415844737,121.5010714450,385.1414271261
377195,377195,31.2410843782,121.4993625614,1002.3400887348
