377054,377054,-nan,-nan,-nan
377055,377055,-nan,-nan,-nan
377056,377056,31.2430248855,121.5017089105,686.1276656895
377057,377057,31.2423346347,121.5012110819,588.0439533995
377057,377057,31.2564817962,121.4821763953,-201.1539470091
377058,377058,31.2676882717,121.4588066743,827.4437824783
377059,377059,31.2592736915,121.4736521572,982.4648203149
377060,377060,31.2604513793,121.4832014134,299.8713444277
377061,377061,31.2785910615,121.4595169264,-1193.6691409409
377062,377062,31.2756640988,121.4640306300,-909.3253880256
377063,377063,31.2779720474,121.4665023781,330.3575305844
377065,377065,31.2599474908,121.4789533313,1191.7513812547
377066,377066,31.2590926738,121.4787951107,990.8275866193
377070,377070,31.2588662250,121.4675827740,1423.7688803715
377071,377071,31.2559679233,121.4782282249,725.1837408782
377076,377076,31.2667947868,121.4669764313,493.6437051139
377077,377077,31.2409199643,121.4997216960,526.4814781418
377080,377080,31.2413449753,121.5015468986,238.4077371994
377081,377081,31.2417882376,121.5011261059,237.3202494725
377084,377084,31.2417950477,121.5013313200,217.4870738047
377088,377088,31.2417653017,121.5012623392,240.6207985264
377089,377089,31.2416924368,121.5013051838,241.8963901940
377092,377092,31.2416177076,121.5014117408,284.7262430029
377093,377093,31.2417061514,121.5015152985,263.5626466945
377096,377096,31.2417254394,121.5017403857,310.6668647880
377097,377097,31.2415632541,121.5014535568,425.6653510977
377101,377101,31.2415532954,121.5014695698,409.9889552584
377102,377102,31.2412422636,121.5009495455,439.4140546966
377104,377104,31.2413887187,121.5009530768,396.1536016587
377105,377105,31.2414632413,121.5010258440,385.2437520283
377108,377108,31.2414157158,121.5009997906,397.3619086060
377109,377109,31.2413936260,121.5008720414,311.9313606416
377112,377112,31.2415341903,121.5009968988,300.9778849280
377113,377113,31.2418639720,121.5015866844,309.0369176399
377116,377116,31.2421024311,121.5015836111,286.6132724179
377117,377117,31.2418647650,121.5014030642,220.6610533006
377120,377120,31.2418168964,121.5012546758,215.0162079646
377121,377121,31.2417183107,121.5008544069,243.6208022174
377124,377124,31.2416009852,121.5009056640,250.0248115833
377128,377128,31.2416546502,121.5011149712,259.3180181370
377129,377129,31.2412693199,121.5012869198,381.5665461503
377132,377132,31.2411883173,121.5012055787,357.1676276354
377133,377133,31.2411088298,121.5010338226,372.0067934871
377136,377136,31.2410512322,121.5009227103,372.9298181014
377137,377137,31.2406042352,121.5025378637,147.9786873841
377140,377140,31.2405994328,121.5026427158,134.3986395825
377141,377141,31.2405964280,121.5027715251,90.5824117750
377144,377144,31.2405987536,121.5028489818,72.4212474770
377145,377145,31.2405610392,121.5027795394,104.2011988391
377148,377148,31.2405580120,121.5028802579,96.1627398030
377149,377149,31.2407930658,121.5027009107,59.2937071969
377152,377152,31.2407034050,121.5028231871,46.8788342603
377153,377153,31.2407331341,121.5029148161,15.5637230894
377157,377157,31.2407810523,121.5028592810,26.3793710116
377158,377158,31.2408919046,121.5030902593,19.5930288090
377160,377160,31.2409166375,121.5031572758,14.0285365990
377161,377161,31.2408536800,121.5030268654,58.2028726232
377164,377164,31.2407374006,121.5029094540,82.5722653050
377165,377165,31.2406030667,121.5028883301,97.5594939335
377168,377168,31.2405778695,121.5028897301,92.9218130052
377169,377169,31.2407018811,121.5028826326,75.8364767421
377172,377172,31.2407771040,121.5029862196,53.6695082498
377173,377173,31.2407573848,121.5030297326,63.9337626070
377176,377176,31.2408149182,121.5028447461,75.6505167214
377177,377177,31.2408586558,121.5028168230,97.7410230379
377180,377180,31.2408981411,121.5028026450,101.6986098643
377181,377181,31.2410175423,121.5027341006,113.3284728461
377184,377184,31.2410670054,121.5027034262,122.4983142813
377185,377185,31.2412877161,121.5023992052,151.1854243626
377189,377189,31.2412972815,121.5023194925,166.2761548261
377190,377190,31.2416632719,121.5019234861,284.0267475546
377195,377195,31.2419273805,121.5015396548,337.2856773035
377196,377196,31.2418763571,121.5016426116,270.2992381214
377198,377198,31.2418675765,121.5016236346,280.3732264151
377199,377199,31.2420578673,121.5014840438,221.3125252502
377203,377203,31.2420490668,121.5016373451,252.3398832299
377204,377204,31.2418262977,121.5018575477,164.6550189290
377209,377209,31.2415386481,121.5020230135,142.7395213513
377210,377210,31.2409615924,121.5028663509,51.7910234875
377212,377212,31.2409635838,121.5028729328,53.2229546683
377213,377213,31.2410175177,121.5027766214,36.2675378863
377216,377216,31.2410119732,121.5027660442,32.6419288785
377217,377217,31.2410450693,121.5027649749,35.4394988193
377221,377221,31.2410570289,121.5027356477,34.2227051300
377222,377222,31.2410432780,121.5027836854,43.8017218943
377226,377226,31.2410682741,121.5027774822,35.0365678668
377227,377227,31.2412329923,121.5028982010,63.8768277488
377229,377229,31.2412788796,121.5027208393,80.1028665016
377233,377233,31.2416198563,121.5024801658,159.8425570645
377234,377234,31.2413415738,121.5029099616,88.0273717722
377241,377241,31.2413043036,121.5029095787,86.8269983797
377242,377242,31.2413637223,121.5028632276,78.2430242482
377245,377245,31.2413710144,121.5029237224,84.3235339087
377246,377246,31.2415034939,121.5028407222,96.6939717029
377249,377249,31.2414001228,121.5028275225,89.6737172768
377250,377250,31.2415251323,121.5028221657,91.8806966684
377253,377253,31.2416081675,121.5028448051,95.1415933058
377254,377254,31.2416686727,121.5028372379,81.4262419493
377257,377257,31.2416580682,121.5028330446,83.0097493993
377258,377258,31.2416180701,121.5028088325,82.5882264900
377266,377266,31.2416356676,121.5027724939,90.4031534278
377267,377267,31.2415544399,121.5024935816,56.4810111629
377268,377268,31.2416345155,121.5026094394,79.1325939405
377269,377269,31.2416845459,121.5026018158,82.7363098093
377272,377272,31.2416928202,121.5026202224,82.4708481443
377273,377273,31.2416776378,121.5026291353,79.1198214199
377276,377276,31.2416158960,121.5026091721,81.0754074088
377277,377277,31.2416631578,121.5023290043,48.8580673759
377281,377281,31.2416297327,121.5024236133,71.8347050843
377282,377282,31.2416734529,121.5024418893,72.5064772315
377286,377286,31.2416665537,121.5024466253,78.2541724340
377287,377287,31.2417313461,121.5025019411,74.1691862366
377288,377288,31.2417521612,121.5024018607,65.2367845066
377290,377290,31.2418109596,121.5024083918,67.5188607559
377291,377291,31.2418906814,121.5024341169,89.2015620727
377295,377295,31.2419734255,121.5024326314,85.4423328057
377296,377296,31.2420398111,121.5023890217,88.8862227154
377301,377301,31.2420065219,121.5023280138,95.5862102138
377302,377302,31.2424656721,121.5022549204,152.4921464978
377305,377305,31.2424446170,121.5023058897,149.9066510412
377306,377306,31.2424495447,121.5021764300,150.5292579901
377309,377309,31.2424665788,121.5020760598,169.8962141832
377310,377310,31.2424837286,121.5020036522,176.1830856436
377313,377313,31.2424600135,121.5019383747,180.9572715911
377317,377317,31.2424566758,121.5019255153,188.7281201709
377318,377318,31.2423862952,121.5016449636,142.4469683666
377321,377321,31.2423198405,121.5016643464,167.3088922996
377322,377322,31.2422687601,121.5014721307,167.1779508519
377325,377325,31.2421789346,121.5014653841,214.6180630830
377326,377326,31.2422704316,121.5017636957,172.4659852010
377329,377329,31.2423672867,121.5021395434,123.3599720918
377330,377330,31.2423907772,121.5018604359,165.9253253038
377333,377333,31.2423640325,121.5020269958,174.4500530590
377334,377334,31.2423956839,121.5025072101,243.0509849602
377337,377337,31.2424037556,121.5021971406,173.9565532314
377338,377338,31.2423306878,121.5021783336,209.1319273732
377341,377341,31.2423227586,121.5021801145,210.6096011339
377342,377342,31.2422872840,121.5021571420,228.0496159581
377350,377350,31.2422084861,121.5022034324,254.4758538559
377351,377351,31.2422221345,121.5022506039,230.5539111079
377352,377352,31.2422193752,121.5023157123,229.6089008308
377356,377356,31.2422162583,121.5023555163,233.2343139226
377357,377357,31.2421512171,121.5021857112,153.3642575868
377360,377360,31.2421268217,121.5021457261,152.1605561792
377361,377361,31.2421310869,121.5018818591,121.2912630506
377364,377364,31.2421658412,121.5018795114,113.5814860465
377365,377365,31.2422206850,121.5017541861,59.0698533925
377372,377372,31.2421521311,121.5016308591,52.6103252105
377373,377373,31.2420257304,121.5014939834,-12.5593566420
377376,377376,31.2421035578,121.5014155102,-10.4762492416
377377,377377,31.2420591991,121.5013593248,-16.9051293082
377380,377380,31.2399416876,121.5008168884,809.7680338032
377381,377381,31.2397701798,121.5006906635,864.2779788004
377384,377384,31.2397999643,121.5006404215,844.1756638206
377385,377385,31.2417711782,121.5010298159,99.8375355739
377388,377388,31.2417263738,121.5010201169,110.8339547949
377389,377389,31.2396855803,121.5006809791,720.9711183351
377393,377393,31.2415453087,121.5009664460,156.8883567385
377394,377394,31.2406730712,121.5003833427,388.0127103618
377398,377398,31.2406611784,121.5004923056,389.3361283973
