365579,365579,-nan,-nan,-6292741.6544055268
365580,365580,31.2596328525,121.6176687859,4.8906846745
365581,365581,31.2597026214,121.6176819243,48.3155920864
365581,365581,31.2596825037,121.6177233697,48.7880604104
365582,365582,31.2597308428,121.6177139823,46.8637135168
365583,365583,31.2596632481,121.6177425997,42.4501372696
365584,365584,31.2597574078,121.6176647028,20.1028663903
365585,365585,31.2597784766,121.6176304963,-0.8496820835
365586,365586,31.2598472660,121.6175862576,4.5273550120
365587,365587,31.2597830465,121.6176547721,7.1798472471
365588,365588,31.2597988666,121.6176658778,16.3020572490
365589,365589,31.2596679370,121.6176978449,16.1142983035
365590,365590,31.2596593241,121.6177092785,18.4163214675
365591,365591,31.2596643505,121.6177006637,21.9193020117
365592,365592,31.2597507854,121.6177027700,24.3962955037
365593,365593,31.2596865167,121.6176767088,24.6854928104
365594,365594,31.2596458045,121.6177485864,29.7428018076
365595,365595,31.2596700515,121.6177446134,49.0889004500
365596,365596,31.2597919830,121.6179506643,70.7434776880
365597,365597,31.2596654363,121.6178046682,51.4182973351
365598,365598,31.2596476643,121.6178459698,55.2831142102
365599,365599,31.2596414413,121.6178570062,54.9925458154
365600,365600,31.2596703693,121.6178567632,52.8721694976
365601,365601,31.2597317218,121.6178877364,49.8979750636
365602,365602,31.2594493541,121.6177107185,8.4982494175
365603,365603,31.2599022671,121.6178751864,48.3991864619
365604,365604,31.2593993594,121.6176954508,-0.7476390154
365605,365605,31.2599334958,121.6178700029,41.7335041937
365606,365606,31.2599753052,121.6178517804,39.7936830794
365607,365607,31.2594568148,121.6176543922,2.6112018567
365608,365608,31.2593007379,121.6175932204,-15.0341520059
365609,365609,31.2595971392,121.6176333132,2.5209916909
365610,365610,31.2599600966,121.6177159263,29.9621266192
365611,365611,31.2599324315,121.6176977093,31.5093159861
365612,365612,31.2597484755,121.6176891303,19.9116965632
365613,365613,31.2598678599,121.6176755406,29.1333379687
365614,365614,31.2598936431,121.6176478865,31.1740275514
365615,365615,31.2598667339,121.6176562684,27.7669784813
365616,365616,31.2597569656,121.6176648754,19.7748909533
365617,365617,31.2597330516,121.6176804608,10.5465162755
365618,365618,31.2596705134,121.6176891097,19.3534747273
365619,365619,31.2596759593,121.6176879039,23.6041317694
365620,365620,31.2596041371,121.6177475543,31.8154240407
365621,365621,31.2595547073,121.6178442436,40.6476508455
365622,365622,31.2594794521,121.6178497909,58.0316404209
365623,365623,31.2595212681,121.6177751352,52.6019582074
365624,365624,31.2595023615,121.6177846669,57.9584980115
365625,365625,31.2594647691,121.6178144141,65.7951491279
365626,365626,31.2594441355,121.6178368539,73.1579279747
365627,365627,31.2594345463,121.6178342927,69.5019116124
365628,365628,31.2593941924,121.6179261399,85.4608422600
365629,365629,31.2594326906,121.6178312724,71.2055062253
365630,365630,31.2594169014,121.6178517219,73.9114793901
365631,365631,31.2594392657,121.6178708296,66.3159974245
365632,365632,31.2594032829,121.6178265101,75.5653735749
365633,365633,31.2594441061,121.6178795105,69.1890885092
365634,365634,31.2594194988,121.6178939771,69.3859797454
365635,365635,31.2594836289,121.6178759912,76.0281632750
365636,365636,31.2594835822,121.6178642697,71.0770740465
365637,365637,31.2594963130,121.6178676074,67.8685705577
365638,365638,31.2595134523,121.6178785902,62.6003382218
365639,365639,31.2594979056,121.6178534481,73.1094780451
365640,365640,31.2594742707,121.6178208333,65.1472871071
365641,365641,31.2594749497,121.6179005017,42.8853144438
365642,365642,31.2594778986,121.6179054033,40.2076584252
365643,365643,31.2594606914,121.6178974779,49.9106693286
365644,365644,31.2594837633,121.6179219682,65.0086935587
365645,365645,31.2594736716,121.6179675708,67.3433842631
365646,365646,31.2594601269,121.6178981085,82.7504649742
365647,365647,31.2595132700,121.6178954757,70.1911398412
365648,365648,31.2595832110,121.6178381068,57.7246715328
