365579,365579,-nan,-nan,-nan
365580,365580,31.2597052715,121.6176519812,12.8239277642
365581,365581,31.2597884598,121.6176544528,52.6864947581
365581,365581,31.2597782154,121.6176970756,53.8671029154
365582,365582,31.2597951513,121.6176997429,49.8885200849
365583,365583,31.2597412199,121.6177153833,47.0739141251
365584,365584,31.2598292045,121.6176501830,25.3079369673
365585,365585,31.2598893352,121.6176010026,9.2028696247
365586,365586,31.2598858343,121.6175801900,10.3571426874
365587,365587,31.2598683117,121.6176266302,14.5532139698
365588,365588,31.2596883662,121.6176911862,21.9375936159
365590,365590,31.2596931223,121.6176836742,24.9382619120
365591,365591,31.2597083069,121.6177206439,32.2883936161
365594,365594,31.2596664265,121.6177329682,47.7532571624
365595,365595,31.2597063184,121.6177705514,52.1362396568
365599,365599,31.2596268389,121.6178261605,53.0932539510
365600,365600,31.2598621133,121.6177305842,33.4972273590
365605,365605,31.2599071262,121.6177146572,31.0239311542
365606,365606,31.2597901286,121.6177025484,16.9854499096
365609,365609,31.2597377251,121.6176823284,21.4331668035
365610,365610,31.2598569033,121.6176776817,28.5201778815
365613,365613,31.2598002429,121.6176502064,24.7581019925
365614,365614,31.2597421610,121.6176779738,19.2420027620
365617,365617,31.2596705134,121.6176891097,19.3534747273
365618,365618,31.2596153220,121.6177409610,44.3496342665
365625,365625,31.2596198714,121.6176824041,56.7358643980
365626,365626,31.2594698902,121.6177768302,76.0760386339
365633,365633,31.2594338731,121.6178113207,80.5421746526
365634,365634,31.2594701927,121.6178796091,74.3093310910
365637,365637,31.2594897016,121.6178378218,74.5189591354
365638,365638,31.2595085531,121.6178237139,75.8324737625
365641,365641,31.2594824060,121.6177865307,67.5868868914
365642,365642,31.2594834034,121.6179137254,73.3949473314
365645,365645,31.2594609609,121.6178960575,81.3987462368
365646,365646,31.2595526913,121.6178575364,58.2052396827
365650,365650,31.2596037443,121.6178436712,55.4647060624
365651,365651,31.2597223146,121.6176637349,37.4228414576
365656,365656,31.2597286681,121.6176611433,35.2170677206
365657,365657,31.2597952271,121.6176658910,33.1087316719
365659,365659,31.2597195206,121.6176999161,26.5997304304
365660,365660,31.2597952824,121.6176169100,49.3174664829
365667,365667,31.2597981172,121.6176096583,46.2095401508
365668,365668,31.2597790000,121.6174931155,60.6321161504
365671,365671,31.2597506796,121.6175771025,57.6546886157
365672,365672,31.2597242237,121.6173814769,72.2101588111
365675,365675,31.2597153879,121.6173453244,72.2228929756
365676,365676,31.2596761543,121.6172183499,81.8772085254
365680,365680,31.2596599832,121.6171488485,91.5387287365
365681,365681,31.2596146646,121.6171465682,84.9617891486
365685,365685,31.2595837368,121.6171733737,85.2672682525
365686,365686,31.2595046213,121.6172308281,75.2622554772
365690,365690,31.2594706171,121.6172180248,78.0768473571
365691,365691,31.2594529985,121.6170973696,54.4628770307
365694,365694,31.2594495745,121.6170853402,51.3185373319
365695,365695,31.2594123293,121.6171138788,59.2334115440
365698,365698,31.2594316373,121.6170854778,50.3984214202
365699,365699,31.2594039990,121.6171255750,62.0583909990
365702,365702,31.2594202743,121.6171268477,61.6943291388
365703,365703,31.2593681903,121.6171859626,63.8468748252
365707,365707,31.2593117540,121.6172313773,70.7552475760
365708,365708,31.2592346768,121.6172885559,80.6286579956
365713,365713,31.2592265139,121.6172855553,80.2496513028
365714,365714,31.2591345507,121.6173491221,89.8626057799
365716,365716,31.2591139507,121.6173376893,89.3959707220
365717,365717,31.2590214072,121.6173498026,103.0176807011
365721,365721,31.2590257382,121.6173277219,97.9706421813
365722,365722,31.2589925871,121.6172767370,96.1116639310
365727,365727,31.2590163103,121.6172613946,89.3690081847
365728,365728,31.2590366806,121.6171653977,81.5504762921
365730,365730,31.2590430654,121.6171353276,76.7335442903
365731,365731,31.2590618138,121.6170082309,71.3310671445
365735,365735,31.2590622200,121.6169250688,77.7051709290
365736,365736,31.2590708071,121.6168547975,74.4401926062
365740,365740,31.2590867796,121.6168171780,72.7513056648
365741,365741,31.2590436828,121.6168270842,62.2796894093
365743,365743,31.2590442821,121.6168208833,56.5514946773
365744,365744,31.2589255689,121.6168841233,57.7996131219
365747,365747,31.2589295130,121.6168881278,60.7156038561
365748,365748,31.2589231504,121.6168687563,66.4141948201
365751,365751,31.2588654784,121.6169063332,71.0226322149
365752,365752,31.2588101665,121.6168446084,85.4354235535
365755,365755,31.2587996474,121.6168037521,87.8513529111
365756,365756,31.2587479860,121.6167123821,98.8633592692
365759,365759,31.2587451526,121.6166680683,98.0616566318
365760,365760,31.2587163668,121.6166551206,101.5936248613
365763,365763,31.2587248006,121.6166126115,104.0745900851
365764,365764,31.2587046136,121.6165507633,108.5985244574
365768,365768,31.2587215172,121.6165539951,105.4598819725
365769,365769,31.2586958213,121.6165485100,91.0601128713
