197497,197497,-nan,-nan,-nan
197498,197498,31.2411565018,121.4858419337,18.9952201639
197499,197499,31.2411384196,121.4857903222,16.1938006669
197500,197500,31.2411236749,121.4857758829,21.5466338827
197501,197501,31.2411352609,121.4857614559,16.2091902694
197502,197502,31.2411350650,121.4857394459,17.6543222456
197503,197503,31.2411228849,121.4858045882,34.0628241416
197504,197504,31.2410965352,121.4858226007,52.8696743299
197505,197505,31.2413077030,121.4856246401,8.6008069791
197506,197506,31.2412529345,121.4857195958,9.3917522930
197507,197507,31.2411804668,121.4857565115,12.7818931180
197508,197508,31.2411593668,121.4858123039,10.5738018761
197509,197509,31.2411831633,121.4858110276,5.9154538426
197510,197510,31.2411627768,121.4858025734,9.7907180801
197511,197511,30.1749609802,120.8161049274,53523.7462510404
197512,197512,31.2411218910,121.4857837334,28.1426325185
197513,197513,31.2409168434,121.4856125778,63.8156299081
197514,197514,31.2410119486,121.4857120665,26.6817460842
197515,197515,31.2412763380,121.4856584007,1.5527922718
197516,197516,31.2410945849,121.4857538371,19.8625972717
197517,197517,31.2410345331,121.4857064192,26.3209625872
197518,197518,31.2410240603,121.4856820224,19.6556272573
197519,197519,31.2410350347,121.4857117351,21.1518953747
197520,197520,31.2410008055,121.4856706115,11.2759055374
197521,197521,31.2410424480,121.4856167682,18.0830746053
197522,197522,31.2409379927,121.4856399216,23.2342450139
197523,197523,31.2409282547,121.4856070703,36.4531093161
197524,197524,31.2410639853,121.4856592508,11.4108798971
197525,197525,31.2409887888,121.4856362150,13.3884714020
197526,197526,31.2409603859,121.4856406713,26.6507528525
197527,197527,31.2409124624,121.4855734479,34.7965359111
197528,197528,31.2409163091,121.4855599170,45.8797689660
197529,197529,31.2408051969,121.4854909048,61.9780808397
197530,197530,31.2407712188,121.4854668540,70.0522663586
197531,197531,31.2410565247,121.4857457739,13.1703513864
197532,197532,31.2408853155,121.4856383197,57.6792542145
197533,197533,31.2409058170,121.4856778934,51.2706080814
197534,197534,31.2408012102,121.4858591516,46.5459567831
197535,197535,31.2409389346,121.4857963484,28.3141604570
197536,197536,31.2409563550,121.4858049723,26.2758879591
197537,197537,31.2409063172,121.4858673619,22.5675034887
197538,197538,31.2409473960,121.4858044176,21.3538973632
197539,197539,31.2409338562,121.4857943944,26.4895988818
197540,197540,31.2409572473,121.4857927194,9.1912208144
197541,197541,31.2409640250,121.4857419917,13.2300407044
197542,197542,31.2409526951,121.4857831159,6.1317830798
197543,197543,31.2408574249,121.4856321645,33.6824441853
197544,197544,31.2408822015,121.4856605267,21.7842947695
197545,197545,31.2407535246,121.4856475329,-5.3754796464
197546,197546,31.2408852454,121.4856730749,-18.5243714345
197547,197547,31.2409028687,121.4856906643,15.7118442022
197548,197548,31.2409900284,121.4857365950,21.7638181018
197549,197549,31.2410523961,121.4857172015,15.7762329573
197550,197550,31.2410132348,121.4857877165,19.1733524146
197551,197551,31.2410312818,121.4857886890,26.8264171091
197552,197552,31.2410428478,121.4857154475,19.6616112763
197553,197553,31.2410143146,121.4858395014,12.9767584287
197554,197554,31.2410304426,121.4858274050,27.9370785512
197555,197555,31.2409807271,121.4857752768,26.7555539603
197556,197556,31.2409881092,121.4858028480,33.7146915606
197557,197557,31.2410521992,121.4858513543,38.2373439977
197558,197558,31.2409750162,121.4857707893,14.2196365702
197559,197559,31.2410267540,121.4858303763,-0.9197991663
197560,197560,31.2410305846,121.4858080310,11.4701111899
197561,197561,31.2409956295,121.4857696881,3.1036989670
197562,197562,31.2409971690,121.4857859851,8.8754660100
197563,197563,31.2409936720,121.4858062132,13.4267249159
197564,197564,31.2410172599,121.4858042648,14.1630503716
197565,197565,31.2410110878,121.4858001197,7.8498879697
197566,197566,31.2410171648,121.4858206894,4.0066325200
197567,197567,31.2412571360,121.4857465396,55.4995365143
197568,197568,31.2412997331,121.4857683302,72.2505417753
197569,197569,31.2412872818,121.4856701563,74.3650251327
197570,197570,31.2413265651,121.4855807083,70.5313310670
197571,197571,31.2411657536,121.4853937152,115.6692806690
197572,197572,31.2408795102,121.4852869569,95.0884643361
197573,197573,31.2408772597,121.4852584336,95.4735425683
197574,197574,31.2409316904,121.4857688947,5.5678485403
197575,197575,31.2409526969,121.4857056901,15.3823794852
197576,197576,31.2409646069,121.4856778708,18.4719273710
