197497,197497,-nan,-nan,-nan
197498,197498,31.2411956482,121.4857609817,10.0488460184
197499,197499,31.2410118582,121.4860192989,65.1908282495
197500,197500,31.2410081835,121.4859919679,62.9803088527
197501,197501,31.2410250630,121.4859624679,57.4035827456
197502,197502,31.2410368916,121.4859535061,58.5739721004
197503,197503,31.2410165792,121.4859081584,62.0559901964
197504,197504,31.2410206284,121.4859264918,80.0774402748
197505,197505,31.2411411275,121.4858546230,59.1994139743
197506,197506,31.2411260106,121.4858383849,42.2511007869
197507,197507,31.2411879370,121.4858182957,9.2764406226
197509,197509,31.2411840992,121.4858095604,6.3852606672
197510,197510,31.2410687405,121.4857794990,29.0148683582
197514,197514,31.2409881285,121.4858297123,49.0386796155
197515,197515,31.2409257111,121.4858156907,55.2541869315
197520,197520,31.2409147345,121.4857898205,54.2965321967
197521,197521,31.2409072869,121.4857442058,36.0436166521
197524,197524,31.2409220339,121.4857148864,33.1614303479
197525,197525,31.2408886196,121.4856733079,40.7027178947
197528,197528,31.2408631680,121.4856442469,40.6369404085
197529,197529,31.2408705311,121.4855563770,65.6811192811
197532,197532,31.2408803729,121.4855355408,65.9300385828
197533,197533,31.2408328969,121.4856377174,62.9449037167
197536,197536,31.2408324515,121.4857091016,45.4844439705
197537,197537,31.2408788233,121.4857475678,26.5245292691
197540,197540,31.2408917754,121.4857422146,16.7810343936
197541,197541,31.2408560217,121.4856916318,11.7144526753
197545,197545,31.2408766473,121.4857479242,17.8790151921
197546,197546,31.2408868113,121.4857064851,19.0065097472
197548,197548,31.2408942892,121.4857504509,17.1167502573
197549,197549,31.2409852080,121.4857481091,23.3432156219
197552,197552,31.2409986207,121.4857618989,24.0348716640
197553,197553,31.2409974616,121.4857912216,22.6222326089
197556,197556,31.2410016316,121.4858035750,23.3483652769
197557,197557,31.2410005964,121.4858287379,14.9102463558
197560,197560,31.2410231689,121.4858045150,10.0979967891
197561,197561,31.2410423277,121.4857856077,20.2162402530
197564,197564,31.2410117579,121.4857806970,16.6912046429
197565,197565,31.2411060410,121.4857043919,45.1999354019
197568,197568,31.2410922276,121.4856484991,56.0165155122
197569,197569,31.2410302888,121.4855853964,59.3752241251
197572,197572,31.2409847423,121.4856071385,55.3258844262
197573,197573,31.2409759793,121.4855853540,56.5339939185
197576,197576,31.2409763718,121.4856135218,53.7366322135
197577,197577,31.2409914043,121.4856864045,48.0053881314
197580,197580,31.2409911606,121.4856816582,46.4540615170
197581,197581,31.2409721936,121.4856798451,38.2706345715
197584,197584,31.2409682455,121.4856739641,40.9916413939
197585,197585,31.2409577389,121.4856495095,42.7205012767
197589,197589,31.2409540144,121.4856749200,41.8595134832
197590,197590,31.2409895770,121.4857205468,40.4382276066
197594,197594,31.2409841926,121.4857065869,46.4695951410
197595,197595,31.2409923660,121.4857107124,33.1582937816
197596,197596,31.2409751190,121.4857131259,36.7390515884
197599,197599,31.2409710122,121.4857327109,27.7199105076
197600,197600,31.2409746387,121.4857339048,25.4525887746
197603,197603,31.2409699210,121.4857345968,26.4781862992
197604,197604,31.2409517140,121.4856609002,34.6562781471
197607,197607,31.2409304237,121.4856169555,40.7197327676
197608,197608,31.2409017191,121.4855760016,48.2391472065
197611,197611,31.2409199033,121.4856175128,44.9897905800
197612,197612,31.2409539191,121.4857123697,27.1708632371
197615,197615,31.2409355463,121.4857041759,31.1055174625
197616,197616,31.2409666717,121.4857113503,37.5401821611
197619,197619,31.2409969274,121.4857325386,29.3619507287
197620,197620,31.2409810977,121.4857885149,18.7349617267
197623,197623,31.2409941379,121.4858079265,24.0906501716
197624,197624,31.2409608698,121.4858071578,17.2307794829
197627,197627,31.2409522221,121.4858065643,14.8679455989
197628,197628,31.2409842973,121.4857636379,8.3564439228
197631,197631,31.2409772241,121.4857410486,6.7764613776
197632,197632,31.2409507139,121.4857049711,9.2566588918
197635,197635,31.2409447953,121.4856914691,7.9124901999
197636,197636,31.2409085615,121.4857223337,11.7028247661
197639,197639,31.2409065157,121.4857445781,13.8002593778
197643,197643,31.2408881380,121.4857757858,22.4969665585
197644,197644,31.2408703689,121.4857188286,11.9839591150
197647,197647,31.2408748722,121.4856889946,12.8036652590
197648,197648,31.2409290869,121.4855920497,25.7273861652
197649,197649,31.2409992223,121.4855583262,20.5668205500
197651,197651,31.2410044984,121.4855818764,16.2020478685
197652,197652,31.2410307462,121.4855775273,20.2572957520
197655,197655,31.2410257096,121.4855683608,19.5032399119
197656,197656,31.2410013879,121.4855310502,32.6625746506
197659,197659,31.2410155747,121.4855425897,29.6635767732
197660,197660,31.2410106384,121.4854841199,29.6443207715
197663,197663,31.2410277044,121.4854559433,39.4078783138
197664,197664,31.2410586473,121.4853770314,35.5121083076
197667,197667,31.2410019583,121.4854558374,25.1755365282
197668,197668,31.2410174778,121.4853691538,44.9359747978
197671,197671,31.2409943759,121.4854091048,45.4761919237
197672,197672,31.2409744246,121.4853775121,42.6429342312
197675,197675,31.2409692437,121.4853852274,41.2008564125
197676,197676,31.2408772151,121.4852882256,44.9688332915
197679,197679,31.2408614068,121.4852407286,36.3495723599
197680,197680,31.2408284277,121.4852272643,42.8412926565
197684,197684,31.2408217079,121.4852086882,38.2528423847
197685,197685,31.2408392632,121.4851813040,41.0243652749
197690,197690,31.2408473919,121.4851664588,41.4527118924
197691,197691,31.2408885398,121.4850983748,50.3508260960
197693,197693,31.2408659148,121.4850722082,45.4138125541
197694,197694,31.2408744946,121.4850648740,43.1016945942
197697,197697,31.2408913442,121.4850191417,40.6556946080
197698,197698,31.2408347250,121.4849318587,43.9874251941
197701,197701,31.2408428706,121.4848952031,42.3719130233
197702,197702,31.2408285158,121.4848335254,57.0022960304
197705,197705,31.2408106288,121.4848348227,61.4545697821
197706,197706,31.2408134866,121.4847733959,57.3183062205
197709,197709,31.2408032635,121.4847513500,63.9277339436
197713,197713,31.2408034154,121.4847287875,67.4326562867
197714,197714,31.2407952420,121.4846729444,81.7959866440
197717,197717,31.2407825096,121.4846308803,68.8010839326
197718,197718,31.2408044220,121.4846099072,97.1647426795
197721,197721,31.2408156402,121.4845781467,101.2974099447
197722,197722,31.2407704731,121.4845790598,80.4235187611
197726,197726,31.2407643659,121.4845595511,85.6294805776
197727,197727,31.2407176001,121.4844361026,76.9450207160
197732,197732,31.2407061778,121.4844320272,81.9520373630
197733,197733,31.2407089273,121.4843887655,72.7499673808
197735,197735,30.7160304679,120.9767805335,-252921.1121037178
197736,197736,30.7651507160,121.0912043573,-177708.5461638711
197739,197739,30.9386290712,121.2076904831,-119066.7451984290
197740,197740,30.7066084798,121.0096926337,-209323.4604971932
197743,197743,30.4941345591,120.9503465587,-240055.2034924524
197744,197744,30.7575499119,120.9495205776,-196357.8976664368
197747,197747,30.7730695117,120.9924482567,-176276.0408635823
197748,197748,30.9542324975,121.1755607127,-127147.7423816482
197751,197751,30.9115953648,121.0785063846,-185038.6865219684
197752,197752,30.9435562011,121.1771638004,-132616.7548309818
197755,197755,31.2406475708,121.4840426734,82.4107541611
197756,197756,31.2406553174,121.4839593281,85.7170671049
197760,197760,31.2406517329,121.4839270412,81.7632574698
197761,197761,31.2406982092,121.4838853287,87.6619045909
197765,197765,31.2406875015,121.4839012744,83.7878466355
197766,197766,30.9663902698,121.2109491600,-113855.5504752167
197768,197768,30.8091878476,121.1490590010,-167437.1208452121
197769,197769,31.2406785077,121.4837381620,83.1140839537
197772,197772,31.2406650740,121.4837202519,82.4218750168
197773,197773,31.2406796845,121.4836902953,75.3220611572
197776,197776,31.2406716833,121.4836715863,77.6194273303
197777,197777,31.2406472025,121.4836698384,78.1265427410
197780,197780,31.2406300523,121.4836294449,76.0726336249
197781,197781,31.2405964522,121.4835903557,62.3269962546
197784,197784,31.2405856714,121.4835663631,62.5123883303
197785,197785,31.2405363133,121.4835903670,67.0695012736
197788,197788,31.2405302514,121.4835752263,68.4225540781
197789,197789,31.2404883588,121.4835341084,66.8718803048
197792,197792,31.2404973064,121.4835131566,68.3852316073
197793,197793,31.2405235877,121.4834731395,52.2749750584
197797,197797,31.2405314578,121.4834405934,52.6274705199
197798,197798,31.2405683950,121.4834026416,53.2171722688
197803,197803,31.2405726289,121.4833820268,63.5483050991
197804,197804,31.0878027416,121.2352739074,-99859.8222935697
197806,197806,31.2405446238,121.4833263579,57.7316642346
197807,197807,31.2404802181,121.4832984812,63.2091745278
197810,197810,31.2404812055,121.4833253059,66.4916004227
197811,197811,31.2404755287,121.4833114664,57.5712809466
197814,197814,31.2404601506,121.4833197342,50.5690821264
197815,197815,31.2404345199,121.4832992315,35.2558945032
197818,197818,31.2404192942,121.4832874569,42.6420954223
197819,197819,31.2403552551,121.4832198361,36.8022250027
197822,197822,31.2403618016,121.4832373148,23.7694901702
197823,197823,31.2403796187,121.4832399365,52.1668209444
197826,197826,31.2404013728,121.4832545952,47.7744805374
197827,197827,31.2404515752,121.4832053737,47.7653243805
197830,197830,31.2404294499,121.4831916927,52.4933033763
197831,197831,31.2404683485,121.4831337220,42.1545614012
197834,197834,31.2404516148,121.4831367402,47.0389657410
197835,197835,31.2404047319,121.4831384439,43.7990898499
197838,197838,31.2404177832,121.4831191588,41.6718575287
197839,197839,31.2404449392,121.4830801264,56.1069672485
197842,197842,31.2404506528,121.4830575115,60.3914820991
197843,197843,31.2404558832,121.4830352796,70.7715546975
197846,197846,30.9552163807,121.2269028677,-141164.6317819879
197847,197847,31.2404101203,121.4830195228,57.3021396357
197850,197850,31.2404063274,121.4830045116,59.9877523348
197851,197851,31.2403801824,121.4829455583,49.6366996471
197854,197854,31.2403666091,121.4829241810,49.5260340820
197855,197855,31.2403654587,121.4828709227,49.3831241055
197858,197858,31.2403591451,121.4828640127,52.5542162872
197859,197859,31.2403115501,121.4828046876,50.4999827949
197862,197862,31.2403123300,121.4827997216,56.8210777406
197863,197863,31.2403058416,121.4827683252,58.3395852140
197866,197866,31.2403251918,121.4827455747,48.7305593955
197867,197867,31.2403024883,121.4826926070,57.8461767978
197870,197870,31.2402807344,121.4826851475,61.5184654212
197871,197871,31.2402636092,121.4826443666,67.7014252655
197874,197874,31.2402443217,121.4826034266,61.8157919560
197875,197875,31.2402335901,121.4826093493,66.6529619465
197878,197878,31.2402126654,121.4825987723,64.0443635419
197879,197879,31.2402015592,121.4824877774,74.2597185248
197882,197882,31.2402181558,121.4824564354,72.9887001606
197883,197883,31.2402832913,121.4823536019,108.8387940883
197886,197886,31.2402441675,121.4823654087,91.5154025704
197887,197887,31.2403033391,121.4822444861,124.5643536523
197890,197890,31.2403181962,121.4822477421,121.1017917544
197891,197891,31.2402744068,121.4822631559,89.5763769678
197894,197894,31.2402829079,121.4822655937,91.8599302245
197895,197895,31.2402688050,121.4822295836,75.3663066651
197898,197898,31.2402536051,121.4822148334,76.5644676762
197899,197899,31.2401999251,121.4821889210,62.9082135842
197906,197906,31.2401910339,121.4821863874,60.3199787907
197907,197907,31.2401163446,121.4821648411,65.1616278588
197910,197910,31.2401259960,121.4821259163,62.3141070896
197911,197911,31.2399980197,121.4821271955,53.4229508137
197918,197918,31.2399634667,121.4821389174,63.1742642437
197919,197919,31.2400609214,121.4819771649,82.2910817745
197923,197923,31.2400623815,121.4819331350,89.0890388866
197924,197924,31.2401013984,121.4819857278,116.6052672594
197927,197927,31.2401469060,121.4819930970,115.5145014087
197928,197928,31.2401116681,121.4819718292,75.7209716813
197929,197929,31.2401118775,121.4819935192,84.1784781845
197930,197930,31.2401451836,121.4820283097,87.9674231411
197932,197932,31.2401722560,121.4820110560,79.8848386981
197933,197933,31.2402238763,121.4819868649,71.5808707625
197940,197940,31.2402295539,121.4819698586,69.0306522490
197941,197941,31.2402941138,121.4820569902,78.2687376754
197948,197948,31.2403481872,121.4820160517,69.2739906634
197949,197949,31.2405078939,121.4819583757,43.6250801083
197952,197952,31.2405294597,121.4819900508,50.1759568448
197953,197953,31.2405367825,121.4819790092,47.5789903278
197956,197956,31.2405181351,121.4819518228,56.9465006137
197957,197957,31.2405541584,121.4819333478,82.4422496449
197960,197960,31.2405699265,121.4819055326,81.8374231991
197961,197961,30.8624662772,121.5929411945,-67731.2180796816
197965,197965,31.2407329843,121.4818441266,71.3548829492
197966,197966,30.8045001294,121.4215751993,-71369.3081647171
197968,197968,31.2407256369,121.4817547756,53.5926408117
197969,197969,31.2407619689,121.4818148721,52.8927253263
197970,197970,31.2407319309,121.4816923272,41.1795756308
197971,197971,31.2407843209,121.4817287207,21.0994907708
197973,197973,31.2408213980,121.4817010289,18.4561051819
197974,197974,31.2408134222,121.4816198214,37.1300603988
197977,197977,31.2408930777,121.4816149445,55.6196981220
197978,197978,31.2410338002,121.4816788402,87.3871474324
197981,197981,31.2410360204,121.4816710521,85.8783140199
197982,197982,31.2410966624,121.4817314174,77.9821495652
197985,197985,31.2410883260,121.4817704715,70.7520205214
197986,197986,31.2412851228,121.4817511883,80.0286161114
197990,197990,30.4408661468,121.6602107128,-103842.2070601937
197991,197991,30.8035235500,121.7651441522,-64944.7749622248
197993,197993,30.6538573157,121.8648646807,-74580.8733045587
197995,197995,30.7010082528,121.8141053747,-60634.5375272668
197996,197996,30.4108409071,122.1143823114,-182742.4655262819
197998,197998,31.2411498278,121.4815629447,64.5379656064
197999,197999,31.2411292100,121.4814871225,58.2120342809
198002,198002,31.2411505251,121.4814369723,38.1323750568
198003,198003,31.2411544184,121.4813260086,25.4685767172
198006,198006,31.2411493084,121.4812986561,21.6441860317
198007,198007,31.2411217174,121.4812115221,29.3560723890
198010,198010,31.2411172779,121.4811888912,30.5956652365
198011,198011,31.2411737252,121.4811052341,50.1034121884
198014,198014,31.2411677464,121.4811141224,48.6049821053
198015,198015,31.2411378561,121.4810877822,48.6804006835
198022,198022,31.2410984910,121.4811382587,45.2388173356
198023,198023,31.2410795418,121.4809451320,66.2901567601
198030,198030,31.2410810086,121.4809392235,65.6175708521
198031,198031,31.2410561948,121.4809003663,53.6628433096
198034,198034,31.2410782129,121.4809055130,51.4568392614
198035,198035,31.2410369172,121.4808817271,45.1332617109
198038,198038,31.2410273569,121.4808796763,33.5914008494
198039,198039,31.2410389678,121.4808525057,38.2738868372
198042,198042,31.2409612487,121.4808665024,21.7604913496
198043,198043,31.2410004212,121.4808402679,29.9374620368
198047,198047,31.2409962208,121.4808200579,34.8573152340
198048,198048,31.2409478931,121.4807997549,27.6434269984
198052,198052,31.2409317290,121.4807848497,30.0933576567
198053,198053,31.2409230510,121.4807342971,30.0490424191
198054,198054,31.2409578060,121.4806507210,41.6291241955
198057,198057,31.2409019523,121.4806446619,28.6361485971
198058,198058,31.2409783015,121.4806235586,40.9290194660
198061,198061,31.2410969489,121.4805284716,83.7466140850
198062,198062,31.2410985617,121.4804800623,82.1072629952
198065,198065,31.2410359504,121.4804702504,85.9114523376
198066,198066,31.2410640052,121.4804152941,93.0056900595
198069,198069,31.2410024704,121.4804299821,82.1701687060
198070,198070,31.2410007642,121.4803920007,69.0891937835
198073,198073,31.2409816448,121.4803678103,69.3441570926
198074,198074,31.2409594915,121.4803312934,79.8626366161
198077,198077,31.2409609946,121.4803095208,78.6633172146
198078,198078,31.2408794549,121.4803307458,61.9021133752
198081,198081,31.2409133727,121.4802932386,71.0878405759
198082,198082,31.2409168487,121.4802314308,51.0669639884
198085,198085,31.2409064171,121.4802013045,54.9361043082
198086,198086,31.2409478293,121.4801172515,61.7299404013
198089,198089,31.2409169737,121.4801050322,69.1264813671
198090,198090,31.2409342796,121.4800356543,82.3762499052
198093,198093,31.2409244262,121.4800151274,78.9715552117
198094,198094,31.2407796540,121.4799737452,52.2534459636
198097,198097,31.2407770664,121.4799806088,61.1454366096
198098,198098,31.2406144070,121.4799501160,62.3972237776
198102,198102,31.2405635589,121.4799046032,64.5899519292
198103,198103,31.2403839586,121.4798059895,73.0006741372
198106,198106,31.2403206819,121.4797885913,73.1269843383
198108,198108,31.2403295120,121.4797906286,80.2968158072
198109,198109,31.2402702134,121.4797533417,93.8391408594
198111,198111,31.2402456632,121.4797530641,93.3471647574
198112,198112,31.2401428192,121.4797841131,72.0429665968
198116,198116,31.2401367969,121.4798027699,75.4392072856
198117,198117,31.2400345125,121.4798240472,70.3617271925
198120,198120,31.2399775999,121.4798078639,63.5651920388
198122,198122,31.2399503989,121.4798207931,63.3840721495
198123,198123,31.2399460586,121.4798543721,61.0466995136
198126,198126,31.2399268641,121.4798548882,57.1531523795
198127,198127,31.2399098653,121.4798978526,53.9660159974
198130,198130,31.2398832604,121.4799046736,55.5533410043
198131,198131,31.2398752249,121.4799005032,68.9264174911
198134,198134,31.2398063343,121.4799221486,66.1825750837
198135,198135,31.2398433836,121.4799701020,66.2021483963
198138,198138,31.2398522659,121.4799856147,66.3754029195
198142,198142,31.2398095905,121.4799951909,66.4989760700
