184411,184411,-nan,-nan,-nan
184412,184412,-nan,-nan,-nan
184413,184413,31.2320322013,121.5320386132,38.2948521988
184414,184414,31.2320354334,121.5320180072,37.6076760434
184415,184415,31.2320559549,121.5320376569,36.5600800691
184416,184416,31.2320557988,121.5320564053,37.8225375373
184417,184417,31.2320378187,121.5320554189,34.4662830187
184418,184418,31.2320341965,121.5320101248,41.2061155481
184419,184419,31.2320505802,121.5320229394,41.3355530608
184420,184420,31.2320454471,121.5319780262,51.9268293981
184421,184421,31.2321182578,121.5321256482,46.4777701571
184423,184423,31.2320816179,121.5321268130,33.4137932087
184424,184424,31.2321278546,121.5321356270,32.9023907594
184427,184427,31.2321342650,121.5321520939,33.5147333262
184428,184428,31.2321370216,121.5321866661,34.9743582894
184431,184431,31.2321345407,121.5322124331,37.0304423011
184432,184432,31.2321731529,121.5323364639,43.6379530136
184435,184435,31.2321246919,121.5323000216,36.6854309276
184436,184436,31.2321485100,121.5323103424,32.1729418148
184440,184440,31.2321635651,121.5323013685,35.9861612647
184441,184441,31.2322060921,121.5323356459,27.7201570494
184446,184446,31.2322294449,121.5323650527,30.7843697937
184447,184447,31.2322363111,121.5323266059,30.8050124784
184449,184449,31.2322621294,121.5323003275,29.2044265877
184450,184450,31.2321489744,121.5321618339,29.4746376205
184454,184454,31.2320906695,121.5322321915,42.0675458382
184455,184455,31.2321144126,121.5321445151,40.2667503566
184459,184459,31.2321130285,121.5321545965,39.0107307765
184460,184460,31.2321038549,121.5321242569,40.2102289426
184462,184462,31.2321069576,121.5321036626,41.5978490546
184463,184463,31.2322061226,121.5322485405,59.5677903360
184471,184471,31.2322243307,121.5322773903,45.8641725021
184472,184472,31.2322278840,121.5323653928,42.0941616256
184475,184475,31.2322268432,121.5323195926,36.9933151012
184476,184476,31.2322227062,121.5322985260,35.3707407722
184480,184480,31.2321989024,121.5323009405,40.1483631445
184481,184481,31.2320925192,121.5322804382,50.2951630676
184488,184488,31.2320543721,121.5322489441,50.9548493906
184489,184489,31.2320357319,121.5321970848,37.8067224463
184492,184492,31.2320620762,121.5321935187,30.9079389624
184493,184493,31.2320305977,121.5322167299,37.3887533772
184496,184496,31.2320363503,121.5322020535,35.0761146330
184497,184497,31.2320767155,121.5322404298,50.6727235223
184500,184500,31.2320182776,121.5321788622,36.7582203752
184501,184501,31.2319691086,121.5321111707,35.2434319878
184505,184505,31.2319721499,121.5321275433,37.3239588293
184506,184506,31.2319869448,121.5320938231,25.0653185442
184511,184511,31.2320703985,121.5320891801,31.7909058171
184512,184512,31.2320491086,121.5321060012,40.6031009005
184514,184514,31.2320633435,121.5320879066,35.1846655678
184515,184515,31.2321049670,121.5321544906,42.5978370995
184518,184518,31.2321105530,121.5321956921,29.4625096677
184519,184519,31.2321114776,121.5322036880,33.3935440137
184522,184522,31.2320961022,121.5322104566,35.7610555550
184523,184523,31.2320788868,121.5321991068,31.7275334165
