GPS Time(s),Lat(deg),Lon(deg),height(m),SD_E(m),SD_N(m),SD_U(m)
365321.00000000,31.25965433,121.61761437,17.20700000,0.00700000,0.00700000,0.01300000
365322.00000000,31.25965518,121.61761459,17.20400000,0.00600000,0.00600000,0.01100000
365323.00000000,31.25965551,121.61761458,17.20200000,0.00500000,0.00500000,0.00900000
365324.00000000,31.25965563,121.61761433,17.19400000,0.00500000,0.00500000,0.00900000
365325.00000000,31.25965563,121.61761459,17.20100000,0.00500000,0.00500000,0.00800000
365326.00000000,31.25965546,121.61761483,17.20900000,0.00500000,0.00500000,0.00800000
365327.00000000,31.25965466,121.61761486,17.20300000,0.00500000,0.00500000,0.00800000
365328.00000000,31.25965190,121.61761386,17.19000000,0.00500000,0.00500000,0.00800000
365329.00000000,31.25965002,121.61761476,17.19000000,0.00500000,0.00500000,0.00800000
365330.00000000,31.25964857,121.61761601,17.17900000,0.00500000,0.00500000,0.00900000
365331.00000000,31.25964805,121.61761660,17.18400000,0.00500000,0.00500000,0.00900000
365332.00000000,31.25964809,121.61761643,17.15000000,0.00500000,0.00500000,0.00900000
365333.00000000,31.25964739,121.61761750,17.13600000,0.00500000,0.00500000,0.00900000
365334.00000000,31.25964589,121.61762160,17.17300000,0.00500000,0.00500000,0.00900000
365335.00000000,31.25964596,121.61762189,17.16500000,0.00500000,0.00500000,0.00900000
365336.00000000,31.25964643,121.61761568,17.16500000,0.00500000,0.00500000,0.00900000
365337.00000000,31.25964680,121.61761318,17.17200000,0.00500000,0.00500000,0.00900000
365338.00000000,31.25964683,121.61761296,17.16300000,0.00500000,0.00500000,0.00900000
365339.00000000,31.25964783,121.61761112,17.17000000,0.00500000,0.00500000,0.00900000
365340.00000000,31.25964817,121.61761052,17.17900000,0.00500000,0.00500000,0.00900000
365341.00000000,31.25964899,121.61761021,17.20600000,0.00500000,0.00500000,0.00900000
365342.00000000,31.25965012,121.61760943,17.23900000,0.00500000,0.00500000,0.00900000
365343.00000000,31.25965087,121.61761269,17.28200000,0.00500000,0.00500000,0.00900000
365344.00000000,31.25965245,121.61761723,17.17200000,0.00500000,0.00500000,0.00900000
365345.00000000,31.25965222,121.61761812,17.15700000,0.00500000,0.00500000,0.00900000
365346.00000000,31.25964987,121.61761612,17.30100000,0.00500000,0.00500000,0.00900000
365347.00000000,31.25964698,121.61761768,17.26300000,0.00500000,0.00500000,0.00800000
365348.00000000,31.25964800,121.61761627,17.24700000,0.00500000,0.00500000,0.00800000
365349.00000000,31.25965031,121.61761100,17.21900000,0.00500000,0.00500000,0.00800000
365350.00000000,31.25964955,121.61761112,17.22100000,0.00500000,0.00500000,0.00800000
