GPS Time(s),Lat(deg),Lon(deg),height(m),SD_E(m),SD_N(m),SD_U(m)
110462.00000000,34.19627577,108.83709273,370.88800000,0.19700000,0.13000000,0.22800000
110463.00000000,34.19627600,108.83709265,370.88100000,0.19400000,0.12800000,0.22500000
110464.00000000,34.19628152,108.83709348,370.59400000,0.12300000,0.08000000,0.14000000
110465.00000000,34.19628234,108.83709359,370.55200000,0.10800000,0.07000000,0.12300000
110466.00000000,34.19628245,108.83709348,370.55000000,0.10800000,0.07000000,0.12200000
110467.00000000,34.19628275,108.83709322,370.54100000,0.10700000,0.06900000,0.12100000
110468.00000000,34.19628325,108.83709277,370.52700000,0.10600000,0.06800000,0.12000000
110469.00000000,34.19628384,108.83709225,370.50900000,0.10500000,0.06700000,0.11800000
110470.00000000,34.19628450,108.83709166,370.48900000,0.10400000,0.06600000,0.11700000
110471.00000000,34.19628515,108.83709115,370.48100000,0.10300000,0.06600000,0.11600000
110472.00000000,34.19628532,108.83709083,370.54200000,0.10200000,0.06500000,0.11500000
110473.00000000,34.19628471,108.83709089,371.21900000,0.10100000,0.06400000,0.11400000
110474.00000000,34.19628632,108.83708849,371.32000000,0.10000000,0.06300000,0.11400000
110475.00000000,34.19628572,108.83708705,371.24000000,0.09900000,0.06300000,0.11300000
110476.00000000,34.19628496,108.83708669,371.21000000,0.09900000,0.06200000,0.11200000
110477.00000000,34.19628501,108.83708752,371.23800000,0.09700000,0.06100000,0.11200000
110478.00000000,34.19628493,108.83709087,371.29300000,0.09600000,0.06100000,0.11100000
110479.00000000,34.19628628,108.83709074,371.29900000,0.09600000,0.06000000,0.11000000
110480.00000000,34.19628638,108.83709235,371.36000000,0.09500000,0.06000000,0.11000000
110481.00000000,34.19628619,108.83709302,371.35600000,0.09400000,0.05900000,0.10900000
110482.00000000,34.19628624,108.83709339,371.28800000,0.09300000,0.05900000,0.10900000
110483.00000000,34.19628550,108.83709490,371.26600000,0.09200000,0.05800000,0.10800000
110484.00000000,34.19628109,108.83709954,371.27600000,0.09100000,0.05800000,0.10700000
110485.00000000,34.19627523,108.83710167,371.25400000,0.09000000,0.05700000,0.10700000
110486.00000000,34.19627385,108.83709643,371.24600000,0.09000000,0.05700000,0.10600000
110487.00000000,34.19627430,108.83709754,371.29700000,0.08900000,0.05700000,0.10600000
110488.00000000,34.19627484,108.83709709,371.27300000,0.08800000,0.05600000,0.10500000
110489.00000000,34.19627379,108.83709977,371.30400000,0.08800000,0.05600000,0.10500000
110490.00000000,34.19627295,108.83710102,371.34100000,0.08700000,0.05600000,0.10500000
110491.00000000,34.19627280,108.83710189,371.34000000,0.08700000,0.05600000,0.10400000
110492.00000000,34.19627293,108.83710140,371.31700000,0.08600000,0.05600000,0.10400000
110493.00000000,34.19627254,108.83710251,371.36100000,0.08600000,0.05600000,0.10300000
110494.00000000,34.19627202,108.83710316,371.37900000,0.08600000,0.05500000,0.10300000
110495.00000000,34.19627154,108.83710384,371.40400000,0.08600000,0.05500000,0.10300000
110496.00000000,34.19627120,108.83710436,371.42200000,0.08500000,0.05500000,0.10200000
110497.00000000,34.19627098,108.83710490,371.43400000,0.08500000,0.05500000,0.10200000
110498.00000000,34.19627067,108.83710552,371.45300000,0.08500000,0.05600000,0.10200000
110499.00000000,34.19627048,108.83710605,371.46300000,0.08500000,0.05600000,0.10200000
110500.00000000,34.19627026,108.83710670,371.48400000,0.08500000,0.05600000,0.10200000
110501.00000000,34.19626995,108.83710744,371.51300000,0.08500000,0.05600000,0.10100000
110502.00000000,34.19626986,108.83710804,371.51600000,0.08500000,0.05600000,0.10100000
110503.00000000,34.19626982,108.83710864,371.50200000,0.08500000,0.05600000,0.10100000
110504.00000000,34.19626932,108.83710935,371.52200000,0.08500000,0.05600000,0.10100000
110505.00000000,34.19626925,108.83711040,371.53800000,0.08600000,0.05600000,0.10100000
110506.00000000,34.19626937,108.83711220,371.53900000,0.08600000,0.05700000,0.10100000
110507.00000000,34.19626945,108.83711201,371.52300000,0.08600000,0.05700000,0.10100000
110508.00000000,34.19626883,108.83711297,371.56100000,0.08600000,0.05700000,0.10100000
110509.00000000,34.19626859,108.83711297,371.55800000,0.08600000,0.05700000,0.10100000
110510.00000000,34.19626887,108.83711302,371.54800000,0.08700000,0.05700000,0.10100000
110511.00000000,34.19626933,108.83711312,371.50600000,0.08700000,0.05800000,0.10100000
110512.00000000,34.19626929,108.83711352,371.51200000,0.08700000,0.05800000,0.10100000
