377089,377089,-nan,-nan,-6292741.6544055268
377090,377090,-nan,-nan,-6292741.6544055268
377091,377091,-nan,-nan,-6292741.6544055268
377092,377092,31.9781489767,122.0862339860,-132707.3869046189
377093,377093,31.2448325695,121.5122631263,-813.3073340583
377094,377094,31.2444902751,121.5119076629,-773.2118270796
377095,377095,31.2375401687,121.5032857742,249.8603147134
377096,377096,31.2376170802,121.5034127906,284.7126620677
377097,377097,31.2382387293,121.5029784795,120.9365050429
377098,377098,31.2386399844,121.5041379579,273.6207975057
377099,377099,31.2405867089,121.5027382105,63.9584198119
377103,377103,31.2406895817,121.5027423158,36.7129507006
377104,377104,31.2401127356,121.5012061560,424.5739242853
377107,377107,31.2400754844,121.5012733182,452.7679644725
377108,377108,31.2399757321,121.5015349167,395.1480786570
377111,377111,31.2400665449,121.5015596577,344.4458458014
377112,377112,31.2401805716,121.5017079718,274.9447895708
377115,377115,31.2402249363,121.5014926537,341.0984132762
377116,377116,31.2412320387,121.5014150419,301.6845881687
377120,377120,31.2410264028,121.5015656237,249.2136264572
377121,377121,31.1981685289,121.5555534089,-9825.4548923675
377126,377126,32.3881959489,121.8418583416,-73385.5123113992
377127,377127,32.6662132360,121.6027056090,-21805.1901256381
377129,377129,32.5144107132,121.3828040569,47780.2668171778
377130,377130,31.2240812023,121.5069853563,-2592.5670298098
377133,377133,31.2250957132,121.5060601262,-2339.7266581195
377134,377134,31.2264036835,121.5045919374,-2163.5105162923
377137,377137,31.2287524395,121.5054138566,-1956.8805307684
377138,377138,31.2262816053,121.5069994114,-1846.9361323744
377141,377141,31.2285023099,121.5070634525,-1415.1059152480
377142,377142,31.2298903549,121.5050676586,-863.6631418984
377145,377145,31.2414978997,121.5017510272,343.9546978223
377146,377146,31.2073595459,121.5441572914,-7114.9003238888
377150,377150,31.2169690468,121.5005134123,-753.5906297350
377151,377151,31.2177360624,121.5054807739,-907.6483575160
377156,377156,31.2418310815,121.5015383427,414.4914737607
377157,377157,31.2419378423,121.5015705010,425.3456454294
377160,377160,31.2419100768,121.5015407898,430.8045587415
377161,377161,31.2418459328,121.5014978261,343.2393967630
377164,377164,31.2415866409,121.5013710058,361.2510382399
377165,377165,31.2418675339,121.5014597331,336.5567753198
377168,377168,31.2418427618,121.5013767643,380.2784631212
377169,377169,31.2418454963,121.5013279861,386.6754574399
377172,377172,31.2419492940,121.5008023449,378.6990959106
377173,377173,31.2418656627,121.5014060956,364.0469612875
377176,377176,31.2420153876,121.5017013006,313.0637638150
377177,377177,31.2419139820,121.5015120703,379.8613167770
377180,377180,31.2419593036,121.5016411085,290.5453059912
377181,377181,31.2419168255,121.5014323484,360.4783848351
377184,377184,31.2419501788,121.5014043122,367.6299931789
377185,377185,31.2421482879,121.5016001766,286.7207991340
377188,377188,31.2422431929,121.5016864519,334.4964271291
377189,377189,31.2408525000,121.5027738638,54.0067583920
377192,377192,31.2408278967,121.5027831209,58.4836619653
377193,377193,31.2420292950,121.5014871751,279.6023276441
377196,377196,31.2419495542,121.5014399257,263.0575794769
377197,377197,31.2407036322,121.5029365740,71.6632749655
377200,377200,31.2407488599,121.5029138510,71.3187670498
377201,377201,31.2407675696,121.5028742928,58.1313151181
377204,377204,31.2407603898,121.5028913510,56.2474461165
377205,377205,31.2407826773,121.5028689539,36.6853059658
377209,377209,31.2407954363,121.5028139636,44.1228721458
377210,377210,31.2408160593,121.5028052539,40.3300810035
377215,377215,31.2408209322,121.5027905436,44.5193012290
377216,377216,31.2408904559,121.5027578320,38.5664861687
377218,377218,31.2408862813,121.5027642903,42.7957441690
377219,377219,31.2409619068,121.5027723265,43.4314935984
377222,377222,31.2409723639,121.5027758318,40.1297305299
377223,377223,31.2410051775,121.5027832959,49.0583533722
377227,377227,31.2410203253,121.5027696428,53.7653203927
377228,377228,31.2410729378,121.5027674275,56.6920001554
377231,377231,31.2410964225,121.5027194324,48.9560842035
377232,377232,31.2411194385,121.5027169725,41.9845243417
377237,377237,31.2411211985,121.5027185409,43.1010145163
377238,377238,31.2411858214,121.5026597638,40.9941098522
377245,377245,31.2412048379,121.5026480293,42.2687466338
377246,377246,31.2412175629,121.5025568627,45.9267778684
377249,377249,31.2412714087,121.5025930187,64.8235822132
377250,377250,31.2413156782,121.5025883336,78.3877465964
377253,377253,31.2413425786,121.5023416415,122.3482453425
377254,377254,31.2413667846,121.5022187380,121.1274670689
377257,377257,31.2413956558,121.5023504393,87.4876845219
377258,377258,31.2413453617,121.5024494783,64.3889692489
377261,377261,31.2413787104,121.5024057184,63.1765720097
377262,377262,31.2414846168,121.5027600770,100.5974214969
377266,377266,31.2415343536,121.5027330375,93.7724330566
377267,377267,31.2415352371,121.5026698674,72.2712391546
377270,377270,31.2415726836,121.5024230042,41.9852392710
377271,377271,31.2415559637,121.5024218565,55.9223897962
377272,377272,31.2415657020,121.5024233966,52.0690101638
377275,377275,31.2416095764,121.5024009050,36.7308374357
377276,377276,31.2416465613,121.5024079550,56.1593200637
377280,377280,31.2416942626,121.5023294639,46.4071884279
377281,377281,31.2416474983,121.5023296782,50.2623204180
377285,377285,31.2416683245,121.5024362307,67.1555488803
377286,377286,31.2417108918,121.5022917567,34.9288974944
377287,377287,31.2417288848,121.5023040525,38.0219404291
377290,377290,31.2417241617,121.5022768750,31.4906084926
377291,377291,31.2417576444,121.5022052738,29.2078697422
377294,377294,31.2418542481,121.5036428046,232.7847645282
377295,377295,31.2422452235,121.5035838623,191.6882127849
377298,377298,31.2421479612,121.5038044554,194.6856581862
377299,377299,31.2418721604,121.5020769498,55.9621321745
377302,377302,31.2418936128,121.5021005739,51.1292396103
377303,377303,31.2423451409,121.5017015627,124.1911076746
377307,377307,31.2422866503,121.5015721419,123.1982229305
377308,377308,31.2420755252,121.5015590211,97.7905833392
377313,377313,31.2416992817,121.4995124839,416.8811233744
377314,377314,31.2423137182,121.5016841067,93.2187591892
377317,377317,31.2423275261,121.5016067662,108.4432734038
377318,377318,31.2423094736,121.5013716819,109.9046676148
377321,377321,31.2423101757,121.5014355252,92.5446833814
377322,377322,31.2423824020,121.5016827171,125.5136064339
377325,377325,31.2423469503,121.5015839042,64.9999733103
377326,377326,31.2423740424,121.5015402283,72.9757030763
377329,377329,31.2424314079,121.5014605723,62.6431176927
377330,377330,31.2421873050,121.5006567735,243.2602325288
377333,377333,31.2417660624,121.5008508833,349.4132570900
