365537,365537,-nan,-nan,-6292741.6544055268
365538,365538,-nan,-nan,-6292741.6544055268
365541,365541,31.1792113433,121.6369562388,-9074.1015443032
365542,365542,31.2597494289,121.6183707686,227.0245541757
365543,365543,31.2598526279,121.6183063177,199.0234980866
365544,365544,31.2600029331,121.6183337008,176.2779082015
365545,365545,31.2600193861,121.6183433317,182.6554804504
365546,365546,31.2599216573,121.6182478013,194.8671001145
365547,365547,31.2595887562,121.6176325987,61.3064084686
365548,365548,31.2596329458,121.6176166612,62.5626426504
365549,365549,31.2596821696,121.6175745967,75.8403787315
365551,365551,31.2596309126,121.6176010010,66.8629045225
365552,365552,31.2426329379,121.6463250903,10163.0818549253
365556,365556,31.2398265199,121.6463132711,8908.8063537789
365557,365557,31.2455163118,121.6479394032,10730.7784771563
365562,365562,31.2467284804,121.6441348064,9166.5592259829
365563,365563,31.2447905349,121.6447981135,10538.9053835166
365566,365566,31.2470133825,121.6419638510,9022.0915384461
365567,365567,31.2405403994,121.6516600246,10902.5016528130
365570,365570,31.2327671062,121.6467561061,10199.4396223627
365571,365571,31.2473118969,121.6414846923,12549.5302904556
365574,365574,31.2440911608,121.6466410038,12536.1457946888
365575,365575,31.2291333753,121.6556194712,13750.9677029670
365578,365578,31.2340740640,121.6586828142,12024.3613829368
365579,365579,30.6049801742,122.3077174277,136182.1959666656
365582,365582,31.2392631829,121.6522709000,10482.3270813254
365583,365583,30.8148585924,121.7525219719,-30078.9757293176
365586,365586,30.7019591928,121.8683306595,17274.3187840282
365587,365587,30.7099732423,121.9104366386,5127.6466154313
365595,365595,30.9593862196,121.7346516699,-13225.8272480613
365596,365596,31.2319228715,121.6699719307,7341.0164141979
365599,365599,31.2518482108,121.6489655384,7411.4156290802
365600,365600,31.2426809247,121.6020232689,-13826.3000935203
365601,365601,31.3147092480,121.5954444972,-13250.4327294599
365602,365602,31.2750351060,121.5974965259,-16840.4334836990
365604,365604,31.2746360403,121.5825830405,-16923.5137972026
