197636,197636,-nan,-nan,-6292741.6544055268
197638,197638,-nan,-nan,-nan
197639,197639,-nan,-nan,-nan
197640,197640,31.2401674364,121.4847687264,40.8076278546
197641,197641,31.2401518060,121.4847217024,50.8462478287
197642,197642,31.2401752036,121.4847327296,40.9028801403
197643,197643,31.2401656242,121.4847033689,40.9265691557
197644,197644,31.2402471963,121.4847655289,68.1733975910
197645,197645,31.2402291727,121.4846651356,53.2819720390
197646,197646,31.2403049835,121.4845303835,42.9188302152
197647,197647,31.2402385716,121.4846960049,32.4593594044
197648,197648,30.5500044440,120.4845626914,-18519.4226136762
197651,197651,30.8150652660,120.3921149220,-16309.8592474917
197652,197652,30.7544580321,120.5016922252,-28844.8620682331
197653,197653,30.7700350149,120.7622271592,-3537.3402327697
197655,197655,30.7455222972,120.8336626233,7260.4330446001
197656,197656,30.7550971635,120.6961392683,-755.6438450012
197657,197657,30.6673455486,120.5582884213,-25523.2644561016
197659,197659,30.8139252206,120.7419477824,-24445.9507216890
197660,197660,30.6673250568,120.5697054714,-63201.0037891773
197662,197662,30.7050242809,120.4926588625,-48067.4083609893
197663,197663,30.9043184621,120.5960155244,-16725.7198368494
197664,197664,30.8245903749,120.3299203440,-25228.1859387843
197665,197665,30.8579811939,120.4624145947,9430.2705092461
197667,197667,30.6648525832,120.7150194115,-1924.2995061325
197670,197670,30.4609704169,120.7394257085,56153.8858641851
197671,197671,30.5239927790,120.6700078554,27196.1300417910
197672,197672,30.6210986389,120.8377952584,31603.1206761245
197673,197673,30.6397868221,120.9772445610,59151.8192435331
197674,197674,30.8223254571,120.7437764656,27403.3994026482
197675,197675,30.6557140419,120.6519436071,24103.3736760358
197676,197676,30.8384543258,120.8445320353,15606.5570968206
197677,197677,30.7746393619,120.8494577337,25727.0315058376
197678,197678,30.6858938092,120.7213786954,6381.3730626007
197679,197679,30.4798582113,120.6281718573,-22311.6638326931
197680,197680,30.5678814057,120.6578183007,-7598.5843425503
197683,197683,30.6240531814,120.7064614778,14925.0698466154
197684,197684,30.6914083153,120.8165504612,10458.1286148101
197685,197685,30.3201869286,120.4524089549,-11939.0832581727
197686,197686,30.5093719502,120.7077689874,-3044.0787804788
197687,197687,30.8161984539,120.9014243207,-17648.8175420315
197688,197688,30.6561834576,120.7600705925,-10030.3161568866
197689,197689,30.7524782717,120.8615127274,-11199.6409177769
197690,197690,30.6684119492,120.8465004359,-32678.7383258094
197691,197691,30.8462444095,120.9380792910,-36689.3531646759
197692,197692,30.8574714357,120.9015886549,-20209.8908055614
197693,197693,30.7128779862,120.7222177731,-47863.3942835238
197694,197694,30.7321978764,120.9061826869,-42462.1013318399
197695,197695,30.8629541558,120.9044227883,-22600.4525430412
197696,197696,30.7649678984,120.8680003641,-25140.7326206973
197697,197697,30.8017684862,120.8290175828,-18016.9969049894
197698,197698,30.6214790478,120.6270616335,-15550.0718870769
197699,197699,31.2408146069,121.4849920554,27.2605674357
197700,197700,31.2408113293,121.4849236389,17.1322061997
197701,197701,31.2408046855,121.4849277417,21.5092704927
197703,197703,31.2408379010,121.4849779298,21.1709543463
197704,197704,31.2408418936,121.4849296461,16.8030904238
197705,197705,31.2408068864,121.4848463037,7.7864916438
197706,197706,31.2407839039,121.4848201943,9.2486537595
197707,197707,31.2408098361,121.4848418832,19.6751952062
197708,197708,31.2407901663,121.4848135333,7.2476961259
197709,197709,31.2407512962,121.4847939173,5.5803040885
197711,197711,31.2407770817,121.4847703487,6.8392128098
197713,197713,31.2407586923,121.4847242474,0.2628796500
197714,197714,31.2407270344,121.4846840158,-4.5526210758
197715,197715,31.2407411244,121.4847245320,14.9087887942
197716,197716,31.2407163869,121.4846582879,25.5217771908
197717,197717,31.2407415262,121.4846143336,24.5503604174
197719,197719,31.2407002232,121.4845343398,18.5858122238
197720,197720,31.2406830655,121.4845289253,19.4218967247
197721,197721,31.2406915173,121.4845586240,33.2342057102
197722,197722,31.2406916745,121.4845597661,38.9972127374
197723,197723,31.2406650230,121.4844693713,40.7913795999
197724,197724,31.2406743263,121.4844776542,41.7710844691
197728,197728,31.2406759294,121.4845029998,29.3108465422
197729,197729,31.2406839492,121.4844898214,43.1286426031
197730,197730,31.2406668366,121.4844476414,40.9277668656
197731,197731,31.2407358840,121.4845202430,46.0162285689
197732,197732,31.2406485153,121.4844352431,38.2173454745
197735,197735,31.2406608311,121.4844256984,40.3119272814
197736,197736,31.2405999446,121.4842806368,48.6516257576
197738,197738,31.2406279583,121.4842920570,50.0319335814
197739,197739,31.2406562940,121.4843192907,59.6192555054
197741,197741,31.2406398103,121.4842890825,58.4947856530
197742,197742,31.2406171815,121.4842864859,54.6971022804
197743,197743,31.2406314989,121.4842817515,46.8177927251
197744,197744,31.2406256126,121.4842614076,54.1660238036
197745,197745,31.2406206167,121.4842233691,53.2910561382
197746,197746,31.2406016458,121.4841614470,56.5886798859
197747,197747,31.2405861981,121.4841520621,49.8425692376
197748,197748,31.2406228147,121.4841487855,52.6693248247
197750,197750,31.2406086412,121.4840678473,60.5127064261
197751,197751,31.2405671798,121.4840456870,56.7099322048
197752,197752,31.2406294658,121.4840625349,70.4544740927
