184444,184444,-nan,-nan,-6292741.6544055268
184445,184445,-nan,-nan,-6292741.6544055268
184446,184446,-nan,-nan,-6292741.6544055268
184447,184447,-nan,-nan,-6292741.6544055268
184449,184449,31.2326507567,121.5325969244,58.8689830394
184450,184450,31.5217104298,121.1591133804,99486.2657592613
184451,184451,31.2325490691,121.5329371707,-48.0121656692
184452,184452,31.2326723764,121.5325837004,28.0215048826
184453,184453,31.2326642166,121.5326036699,37.0075951735
184454,184454,31.2327051810,121.5326257792,41.2555484735
184455,184455,31.2320465174,121.5319489625,40.5227531071
184456,184456,31.2320504038,121.5319719223,35.0924018884
184457,184457,31.2320264363,121.5319698184,28.4896158359
184458,184458,31.2320162397,121.5320114737,39.3565400958
184459,184459,31.2319986654,121.5320162549,33.2939829707
184460,184460,31.2320358229,121.5319638369,23.0516162888
184462,184462,31.2320126665,121.5319951711,35.7250223745
184463,184463,31.2321396993,121.5318415441,26.1658183655
184464,184464,31.2321965651,121.5318092291,32.2702448859
184466,184466,31.2320961634,121.5319256746,31.0133528582
184467,184467,31.2319590676,121.5319926966,22.5954706915
184468,184468,31.2319972188,121.5319589710,23.1318308816
184469,184469,31.2320190481,121.5320124816,21.2184597530
184471,184471,31.2320214535,121.5320293644,20.5165911262
184474,184474,31.2320316051,121.5320116308,21.7200783910
184475,184475,31.2320642922,121.5320325032,25.9260118139
184476,184476,31.2321200325,121.5320453275,16.7766196359
184477,184477,31.2321836714,121.5320961349,27.8927291652
184478,184478,31.2321435612,121.5320137721,20.8370847176
184479,184479,31.2321450278,121.5320582080,28.0042317572
184481,184481,31.2320577032,121.5320288504,22.1684282793
184482,184482,31.2320778912,121.5320264300,23.5825799015
184483,184483,31.2320937802,121.5320617045,29.2022452972
184485,184485,31.2321007159,121.5320381634,25.2256632759
184486,184486,31.2320611360,121.5320336497,22.4691709483
184487,184487,31.2320553740,121.5320134921,15.6765278033
184488,184488,31.2320087855,121.5320253067,9.7984790936
184489,184489,31.2320627814,121.5320068495,13.9862313267
184491,184491,31.2320450227,121.5320456369,28.4365080436
184492,184492,31.2320504665,121.5320549465,21.6799421242
184493,184493,31.2320489026,121.5320234361,19.8329204725
184494,184494,31.2320460294,121.5320024211,28.5386105668
184498,184498,31.2320552227,121.5320013146,25.2591864378
184499,184499,31.2320439672,121.5320069402,29.6602710391
184500,184500,31.2320373905,121.5319897518,20.1898959941
184502,184502,31.2320304447,121.5319944233,25.6933752362
184503,184503,31.2321335717,121.5320057470,17.9720243992
184504,184504,31.2320898279,121.5319951482,22.6975317404
184505,184505,31.2320941973,121.5320018198,21.1905811626
184506,184506,31.2320005247,121.5321095034,40.0615927662
184507,184507,31.2320006707,121.5320695762,28.9392414604
184508,184508,31.2319769053,121.5320742456,28.0863402144
184509,184509,31.2319833223,121.5320738317,26.0997985886
184510,184510,31.2319948546,121.5320786417,32.4531558970
184511,184511,31.2320246227,121.5320765563,38.1438069427
184512,184512,31.2320130274,121.5320964187,40.4511956805
184513,184513,31.2320689127,121.5320934720,30.4190704896
184515,184515,31.2320927825,121.5320806315,30.8657526232
184518,184518,31.2320809840,121.5321021758,27.7907928475
184519,184519,31.2320928647,121.5321044783,27.9713290737
184520,184520,31.2321379517,121.5321021877,27.2995022327
184521,184521,31.2321511302,121.5321175385,29.7415656475
184522,184522,31.2321450739,121.5321390759,31.2291014001
184523,184523,31.2321521101,121.5321598322,32.1948184232
184524,184524,31.2321703964,121.5321744500,25.2951796147
184525,184525,31.2321655985,121.5321912606,28.7132783659
184526,184526,31.2321771764,121.5322007346,28.2416434297
184527,184527,31.2322095837,121.5322078060,28.1284692091
184528,184528,31.2321882094,121.5322195682,31.0953552577
184529,184529,31.2321928650,121.5322288429,24.9210231870
184530,184530,31.2322042617,121.5322391401,24.6680366816
184531,184531,31.2322138573,121.5322587157,25.0206147898
184532,184532,31.2322097568,121.5322757453,30.0293396346
184533,184533,31.2322201207,121.5322565902,26.1348136046
184534,184534,31.2322296964,121.5322628042,24.0450441850
184535,184535,31.2322300993,121.5322862140,27.0544538827
184536,184536,31.2322605764,121.5322859015,16.7200556533
184537,184537,31.2322738707,121.5322947121,18.8804209792
184538,184538,31.2322766238,121.5322919978,17.6732901923
184540,184540,31.2322576223,121.5323105102,22.8750113905
184541,184541,31.2322832568,121.5323086767,22.7480897160
184543,184543,31.2322869390,121.5323219428,26.5429908820
184544,184544,31.2322895069,121.5323172467,25.8689942570
184545,184545,31.2322952087,121.5323269552,26.3894922111
184546,184546,31.2322977297,121.5323663831,32.2208227849
184547,184547,31.2323065354,121.5323834545,26.6901388650
184548,184548,31.2323183089,121.5323957837,28.7794405901
184549,184549,31.2323393808,121.5323965185,30.9698686141
184550,184550,31.2323476134,121.5324065112,30.8413137595
184551,184551,31.2323579445,121.5324136640,28.7506526017
184552,184552,31.2323642465,121.5324285235,27.7418892793
184553,184553,31.2323315631,121.5324412736,24.9443652461
184554,184554,31.2322927836,121.5325018289,36.5212856450
184555,184555,31.2323646795,121.5324595556,37.8267614736
184556,184556,31.2323811897,121.5324595827,39.8273402633
184557,184557,31.2323966355,121.5324574522,41.1758935858
184558,184558,31.2324021322,121.5324464359,39.0664859300
184560,184560,31.2324075962,121.5324529073,35.9344403649
184561,184561,31.2324430971,121.5324898211,30.9469314249
184562,184562,31.2327748119,121.5322746390,-2.6113593822
184563,184563,31.2328299948,121.5322597583,-7.4065255306
184564,184564,31.2325080852,121.5324555680,30.1592541925
184565,184565,31.2325192647,121.5325054973,33.5736215615
184566,184566,31.2324875740,121.5325390641,37.8406568330
184568,184568,31.2324162389,121.5325906532,41.7685337998
184569,184569,31.2324531089,121.5325905756,39.0254570883
184570,184570,31.2324616705,121.5325925403,43.1139100150
184571,184571,31.2325501573,121.5325538284,35.6636379594
184572,184572,31.2325264120,121.5325670104,30.9031805902
184573,184573,31.2325773562,121.5325888794,32.9811136673
184575,184575,31.2326032222,121.5325878773,31.6936179553
184577,184577,31.2326002970,121.5325915388,28.6888481921
184579,184579,31.2326023903,121.5326148004,29.2028527800
184580,184580,31.2326318412,121.5325997695,29.8945312656
184581,184581,31.2326497307,121.5326063254,14.1960353814
184582,184582,31.2326927410,121.5326838637,22.5917393931
184583,184583,31.2327057183,121.5326343214,10.1523081430
184585,184585,31.2327078738,121.5326587845,15.5734072202
184587,184587,31.2327262161,121.5326746906,18.4465564198
184589,184589,31.2327669211,121.5326482030,13.6740591181
184590,184590,31.2327629522,121.5326453170,18.2175055311
184591,184591,31.2327786715,121.5326617022,18.1454947654
184592,184592,31.2327697565,121.5326790242,19.3938211327
184593,184593,31.2327788629,121.5327259206,20.6513019604
184595,184595,31.2327849841,121.5327183536,16.4733310813
184598,184598,31.2328463188,121.5326620256,16.1798639657
184599,184599,31.2328479510,121.5326727631,15.5461419746
184600,184600,31.2328779626,121.5327136849,21.0688529697
184601,184601,31.2328865234,121.5327444350,18.8161294209
184602,184602,31.2328850052,121.5327653837,21.8627901469
184603,184603,31.2327090004,121.5329345710,21.8356055194
184604,184604,31.2327423499,121.5329183563,22.2321254953
184605,184605,31.2327588872,121.5329109403,14.4982813042
184606,184606,31.2328150880,121.5328939751,9.6142004426
184607,184607,31.2328208016,121.5329445379,24.2569367027
184609,184609,31.2328266839,121.5329299536,20.5982860871
184611,184611,31.2328323366,121.5329776309,21.5012810017
184612,184612,31.2328763505,121.5329221643,8.4723772917
184613,184613,31.2328833118,121.5329444771,24.5856453902
184614,184614,31.2328982272,121.5329495826,20.3202165901
184615,184615,31.2329101330,121.5329532707,19.7817346890
184616,184616,31.2329328730,121.5329418737,15.8553804965
184617,184617,31.2329504411,121.5329360427,13.0656713126
184618,184618,31.2329972243,121.5329013675,5.7043465442
184619,184619,31.2330059133,121.5329124721,11.4723262884
184620,184620,31.2330477534,121.5328769656,11.2022061710
184622,184622,31.2330871032,121.5328454285,5.6298424587
184623,184623,31.2330612729,121.5328982010,-2.1094152572
184624,184624,31.2330773778,121.5329006370,-4.2888933234
184625,184625,31.2331323868,121.5327294904,-4.2018307581
184628,184628,31.2331591652,121.5327328895,-5.5521320638
184629,184629,31.2331506783,121.5326821692,-5.7649634758
184630,184630,31.2331498058,121.5327298284,-0.2007523200
184631,184631,31.2331558427,121.5328430249,3.3377050326
184632,184632,31.2331761321,121.5328734340,4.0237200806
184633,184633,31.2331628310,121.5328885037,2.6371239753
184634,184634,31.2331764781,121.5328409052,6.0376485957
184635,184635,31.2332033455,121.5328147196,9.3304074240
184636,184636,31.2332064178,121.5328321911,13.3119573041
184637,184637,31.2331918775,121.5328752821,15.0302836879
184638,184638,31.2333062877,121.5327509282,4.6361898717
184639,184639,31.2332463922,121.5328327192,7.6542344896
184640,184640,31.2332699109,121.5328383957,2.6850186524
184641,184641,31.2332690222,121.5328396353,5.2551778746
184644,184644,31.2332821471,121.5328225986,6.1436537454
184645,184645,31.2333115546,121.5326673421,9.8103995250
184646,184646,31.2333922102,121.5326670327,-0.1828734819
184647,184647,31.2333280508,121.5327667181,9.8620810561
184648,184648,31.2333761025,121.5327871774,10.3580395050
184649,184649,31.2333851019,121.5326829239,18.2620852282
184650,184650,31.2333506791,121.5326842540,22.2336267513
184651,184651,31.2334238563,121.5327534690,11.5387094959
184653,184653,31.2334187857,121.5329104152,16.7042496006
184654,184654,31.2334208256,121.5329511869,16.8616194199
184655,184655,31.2334222515,121.5329093947,12.6247108281
184657,184657,31.2334548599,121.5329593958,19.7832271179
184658,184658,31.2334728760,121.5329741324,18.8965483531
184659,184659,31.2335201120,121.5329938316,15.4211675337
184661,184661,31.2335522636,121.5329884364,13.5002601726
184663,184663,31.2335673705,121.5329819742,14.5305270313
184665,184665,31.2335914835,121.5329843942,8.8594892588
184666,184666,31.2335954947,121.5329914102,12.7197561330
184667,184667,31.2336235798,121.5329531668,9.4818289449
184668,184668,31.2336324260,121.5329307263,10.4782368174
184669,184669,31.2336410364,121.5328930936,6.9175459205
184670,184670,31.2336499519,121.5329097944,8.8022240984
184671,184671,31.2336512928,121.5329069755,14.1231860303
184672,184672,31.2336742302,121.5327509539,6.8561808028
184673,184673,31.2336466832,121.5330658128,26.7502130135
184674,184674,31.2336746806,121.5329358915,25.2534813640
184675,184675,31.2336989421,121.5328790498,28.7922589681
184677,184677,31.2337128026,121.5329229087,30.2063113715
184678,184678,31.2337299495,121.5329288245,32.6829494917
184681,184681,31.2337421413,121.5329315515,32.9389307895
184682,184682,31.2337903620,121.5329286828,26.4892835324
184683,184683,31.2337999071,121.5329199487,23.1462921219
184684,184684,31.2338150842,121.5329390396,29.2947710966
184687,184687,31.2338170739,121.5329209879,32.1133232063
184688,184688,31.2338687406,121.5329323855,30.9622354975
184691,184691,31.2338838539,121.5329084858,27.7151477998
184692,184692,31.2339015735,121.5328840223,28.9966565092
184695,184695,31.2339152256,121.5328791676,27.8386041021
184696,184696,31.2339516694,121.5328032271,17.8834788103
184699,184699,31.2339691463,121.5327847033,16.2580870243
184700,184700,31.2340045815,121.5327315837,6.9661717603
184703,184703,31.2340132930,121.5327451360,6.5296228682
184704,184704,31.2340426260,121.5327035928,7.1337349070
184705,184705,31.2340585442,121.5327224065,12.9051072418
184706,184706,31.2340696776,121.5327198007,11.4129192608
184707,184707,31.2340713911,121.5327277711,11.1349291883
184708,184708,31.2340596943,121.5327230157,20.7846742777
