187368,187368,-nan,-nan,-6292741.6544055268
187369,187369,31.2270235581,121.5268371438,10.1979675355
187370,187370,31.2271434689,121.5263040561,70.3541057558
187371,187371,31.2271100149,121.5261117572,91.6532186173
187372,187372,31.2270542999,121.5260804720,106.2090544084
187373,187373,31.5067036698,121.6923370310,76992.3236248738
187374,187374,31.4132683713,121.6719627158,70379.9586386719
187375,187375,31.2269549029,121.5275333345,-165.4508697792
187376,187376,31.2269347215,121.5271824056,-73.9799391862
187378,187378,31.4047145506,121.5621354508,51240.3053802279
187379,187379,31.3667030536,121.5766203697,45015.9232439675
187380,187380,31.3043289845,121.5911640679,35131.4972950000
187381,187381,31.2268123738,121.5290067473,80.7434113560
187382,187382,31.2268025168,121.5289319476,97.5710804268
187383,187383,31.3521770593,121.5993382408,36975.3267276281
187384,187384,31.3389446481,121.5947373063,35801.9137389367
187386,187386,31.3238079439,121.5940609072,38494.1987128817
187388,187388,31.3326638817,121.5802832454,38498.1437569054
187389,187389,31.2266834873,121.5289390714,89.9257555407
187390,187390,31.2266470822,121.5289681893,76.0081695932
187391,187391,31.2266468113,121.5290422482,56.3952675744
187392,187392,31.2266873230,121.5289952543,94.2990876831
187393,187393,31.2266531213,121.5289704329,80.4137537647
187394,187394,31.2265867043,121.5289769505,59.7359685381
187395,187395,31.2265197436,121.5289937660,73.3823904053
187396,187396,31.2264310827,121.5290428975,65.6706784482
187397,187397,31.2264211554,121.5290353410,106.1312348457
187398,187398,31.2264569575,121.5289402777,111.2502302329
187399,187399,31.2264665362,121.5289403513,122.6175626615
187400,187400,31.2264229991,121.5290190777,138.3320534198
187401,187401,31.2264365398,121.5289753454,124.4622942981
187402,187402,31.2264334088,121.5290105305,101.7357364139
187404,187404,31.2262110045,121.5293366457,174.7522318985
187405,187405,31.2262240271,121.5292348281,192.9697043299
187406,187406,31.2262610172,121.5291176794,139.0655677078
187407,187407,31.2262392088,121.5292715574,126.9199931823
187408,187408,31.2262632189,121.5292975473,126.3469558895
187409,187409,31.2261416210,121.5293954064,134.7860401060
187410,187410,31.2261836010,121.5293730340,122.2970388106
187411,187411,31.2262854432,121.5293001050,103.1032699407
187412,187412,31.2263006540,121.5292067515,91.6704456698
187413,187413,31.2262805767,121.5291638399,92.1226715030
187414,187414,31.2262693368,121.5291534317,96.5787114931
187415,187415,31.2262761748,121.5291947164,97.1005810094
187417,187417,31.2262603956,121.5291881313,97.4889288098
187420,187420,31.2262293746,121.5292298774,114.0966189140
187421,187421,31.2262318619,121.5292687394,124.3216698486
187422,187422,31.2261687266,121.5292178144,119.9875784401
187423,187423,31.2259916765,121.5294347489,195.0320022399
187425,187425,31.2090637218,121.6669552775,60375.5498317844
187428,187428,31.2150095251,121.6777197155,53760.5408913405
187429,187429,31.2250856208,121.6951108239,55688.1005621483
187430,187430,31.2257448407,121.5301505367,265.3416880639
187431,187431,31.2257022733,121.5301382970,257.6113833914
187433,187433,31.2256830053,121.5300064299,231.9137868512
187434,187434,31.2260685518,121.5295238300,194.2229720812
187435,187435,31.2256368761,121.5298008713,213.8373568961
187436,187436,31.2255795305,121.5295987589,198.1880535462
187437,187437,31.2256112951,121.5295851681,202.0720929741
187439,187439,31.2256562721,121.5295300523,183.7665062216
187441,187441,31.2263284309,121.5293988231,264.6547796808
187442,187442,31.2257420900,121.5294667542,177.1530916013
