188646,188646,-nan,-nan,-6292741.6544055268
188647,188647,-nan,-nan,-6292741.6544055268
188648,188648,34.2160305591,108.8855011948,1580.0272598200
188649,188649,34.2159935766,108.8853757411,1591.4642511672
188650,188650,34.2160781802,108.8854586445,1586.0322895105
188651,188651,34.2160678260,108.8854479478,1588.7927975566
188652,188652,34.2160473710,108.8853753089,1589.7347196659
188653,188653,34.2160112117,108.8852698735,1606.2886489079
188654,188654,34.2160198682,108.8853116565,1601.4458155687
188655,188655,34.2160505482,108.8853225035,1592.0920034972
188656,188656,34.2164640902,108.8853252243,398.2402753330
188657,188657,34.2164265172,108.8852912570,411.8624575048
188658,188658,34.2164064351,108.8853035347,403.6228267419
188659,188659,34.2163888447,108.8853402702,401.8364183970
188661,188661,34.2163543067,108.8853749115,387.3845987891
188663,188663,34.2163863313,108.8853922099,385.1711641889
188665,188665,34.2163628250,108.8853641334,389.8020875994
188666,188666,34.2164416009,108.8853656841,388.4515523402
188667,188667,34.2164278971,108.8853689776,396.9440098739
188669,188669,34.2163994544,108.8854144179,387.2835694029
188670,188670,34.2163918540,108.8854160947,391.2640447166
188672,188672,34.2163824831,108.8853029237,412.4122184255
188673,188673,34.2163464752,108.8853129601,413.8940449484
188674,188674,34.2163790565,108.8852961734,409.2479329042
188675,188675,34.2163555404,108.8852596597,402.5220714122
188676,188676,34.2163530193,108.8852532979,409.7277256259
188677,188677,34.2163630198,108.8852764771,402.2832537597
188678,188678,34.2163169155,108.8852860732,407.4345292934
188679,188679,34.2163486814,108.8853225906,402.8791665146
188680,188680,34.2163602571,108.8853474698,392.4633677663
188681,188681,34.2163369885,108.8853278220,405.2866317033
188682,188682,34.2163538658,108.8852883361,407.2763089500
188683,188683,34.2163843906,108.8852636319,401.4879531981
188684,188684,34.2164066323,108.8853157748,380.6620172058
188685,188685,34.2345922805,108.9000143900,-2145.5509997834
188686,188686,34.2316282230,108.9012263847,-1477.3637544947
188687,188687,34.2329753781,108.8975853827,-1976.4506416724
188689,188689,34.2328880828,108.9004570478,-2494.4769106185
188690,188690,34.2346912839,108.8984999235,-2230.9165552273
188691,188691,34.2290409315,108.8905165550,-386.7726233968
188692,188692,34.2264108175,108.8915040085,-433.5176858418
188693,188693,34.2376500046,108.9238576550,-6564.0478310386
188694,188694,34.2304721950,108.8984839815,-1558.2262783632
188695,188695,34.2312347495,108.8932128607,-1531.4059388400
188696,188696,34.2279647611,108.8914027918,-290.5869695644
188697,188697,34.2308687640,108.8957353303,-1277.0610910442
188698,188698,34.2299593743,108.8918770026,-502.3292969910
188699,188699,34.2289414470,108.8934566473,-207.0330167146
188701,188701,34.2279895392,108.8926019407,-128.7396381705
188703,188703,34.2267530025,108.8914459309,-224.1046239122
188704,188704,33.6214523006,108.6939200063,128585.6857273581
188705,188705,34.2311183805,108.8865193397,-588.7151477552
188706,188706,34.2162615620,108.8851557294,438.8255800776
188707,188707,34.2306504572,108.8993094266,-1678.9349226091
188708,188708,34.2339417174,108.9092389940,-4602.4209015812
188709,188709,34.2285531915,108.8957696249,-1865.2071617492
188710,188710,34.2164116883,108.8852728611,412.2244362434
188712,188712,34.2163637649,108.8853256083,408.7605300207
188713,188713,34.2163742528,108.8852718790,411.5549108696
188714,188714,34.2163039155,108.8852733391,423.0454213871
188715,188715,34.2163830907,108.8853169130,402.6670758971
188716,188716,34.2164050556,108.8851929952,412.8379963093
188717,188717,34.2163430599,108.8851993246,417.4535483527
188718,188718,34.2163545185,108.8852037342,411.4767610670
188720,188720,34.2163575616,108.8853687122,384.6082826919
188721,188721,34.2164473731,108.8852994036,386.5187833505
