GPS Time(s),Lat(deg),Lon(deg),height(m),SD_E(m),SD_N(m),SD_U(m)
377015.00000000,31.24076642,121.50290895,15.28400000,0.01400000,0.00900000,0.02200000
377016.00000000,31.24076651,121.50290893,15.28600000,0.00800000,0.00600000,0.01200000
377017.00000000,31.24076659,121.50290916,15.30200000,0.00700000,0.00500000,0.01100000
377018.00000000,31.24076682,121.50290931,15.31200000,0.00700000,0.00500000,0.01100000
377019.00000000,31.24076710,121.50290922,15.31200000,0.00700000,0.00500000,0.01100000
377020.00000000,31.24076720,121.50290915,15.31200000,0.00700000,0.00500000,0.01100000
377021.00000000,31.24076718,121.50290918,15.31400000,0.00700000,0.00500000,0.01100000
377022.00000000,31.24076721,121.50290919,15.31600000,0.00700000,0.00500000,0.01100000
377023.00000000,31.24076724,121.50290917,15.31600000,0.00700000,0.00500000,0.01100000
377024.00000000,31.24076721,121.50290915,15.31600000,0.00700000,0.00500000,0.01100000
377025.00000000,31.24076712,121.50290906,15.31600000,0.00700000,0.00500000,0.01100000
377026.00000000,31.24076685,121.50290901,15.31900000,0.00700000,0.00500000,0.01100000
377027.00000000,31.24076687,121.50290904,15.32200000,0.00700000,0.00500000,0.01100000
377028.00000000,31.24076666,121.50290909,15.34400000,0.00700000,0.00500000,0.01100000
377029.00000000,31.24076665,121.50290901,15.33400000,0.00700000,0.00500000,0.01100000
377030.00000000,31.24076737,121.50290904,15.32400000,0.00700000,0.00500000,0.01100000
377031.00000000,31.24076759,121.50290909,15.33000000,0.00700000,0.00500000,0.01100000
377032.00000000,31.24076760,121.50290900,15.32600000,0.00700000,0.00500000,0.01100000
377033.00000000,31.24076756,121.50290905,15.32700000,0.00700000,0.00500000,0.01100000
377034.00000000,31.24076768,121.50290920,15.32600000,0.00700000,0.00500000,0.01100000
377035.00000000,31.24076789,121.50290951,15.31700000,0.00700000,0.00500000,0.01100000
377036.00000000,31.24076804,121.50290973,15.30900000,0.00700000,0.00600000,0.01100000
377037.00000000,31.24076809,121.50291018,15.31400000,0.00700000,0.00500000,0.01100000
377038.00000000,31.24076819,121.50291097,15.33000000,0.00700000,0.00500000,0.01100000
377039.00000000,31.24076871,121.50291232,15.35200000,0.00700000,0.00500000,0.01200000
377040.00000000,31.24076943,121.50291476,15.37700000,0.00800000,0.00700000,0.01200000
377041.00000000,31.24076498,121.50291672,15.40400000,0.00800000,0.00600000,0.01200000
377042.00000000,31.24076306,121.50291248,15.40000000,0.00900000,0.00600000,0.01200000
377043.00000000,31.24076114,121.50290702,15.39600000,0.00800000,0.00600000,0.01200000
377044.00000000,31.24075956,121.50289974,15.41700000,0.00800000,0.00500000,0.01200000
377045.00000000,31.24075901,121.50289190,15.38500000,0.00900000,0.00600000,0.01200000
377046.00000000,31.24075859,121.50288536,15.41500000,0.00800000,0.00600000,0.01200000
377047.00000000,31.24075634,121.50287906,15.39400000,0.00800000,0.00600000,0.01200000
377048.00000000,31.24075432,121.50287552,15.39000000,0.00800000,0.00500000,0.01100000
377049.00000000,31.24075466,121.50287511,15.39000000,0.00700000,0.00500000,0.01100000
377050.00000000,31.24075445,121.50287484,15.40700000,0.00700000,0.00500000,0.01100000
377051.00000000,31.24075428,121.50287496,15.39200000,0.00700000,0.00500000,0.01100000
377052.00000000,31.24075450,121.50287522,15.37500000,0.00700000,0.00500000,0.01100000
377053.00000000,31.24075431,121.50287521,15.36800000,0.00700000,0.00500000,0.01100000
377054.00000000,31.24075436,121.50287518,15.36700000,0.00700000,0.00500000,0.01100000
377055.00000000,31.24075436,121.50287513,15.36900000,0.00700000,0.00500000,0.01100000
377056.00000000,31.24075442,121.50287516,15.36400000,0.00700000,0.00500000,0.01100000
377057.00000000,31.24075437,121.50287516,15.36100000,0.00700000,0.00500000,0.01100000
377058.00000000,31.24075427,121.50287519,15.35500000,0.00700000,0.00500000,0.01100000
377059.00000000,31.24075410,121.50287510,15.35800000,0.00800000,0.00500000,0.01100000
377060.00000000,31.24075382,121.50287503,15.35600000,0.00800000,0.00500000,0.01200000
377061.00000000,31.24075368,121.50287527,15.35000000,0.00800000,0.00600000,0.01200000
377062.00000000,31.24075298,121.50287562,15.33700000,0.00800000,0.00600000,0.01200000
377063.00000000,31.24075286,121.50287537,15.35400000,0.00800000,0.00500000,0.01200000
377064.00000000,31.24075318,121.50287535,15.34500000,0.00800000,0.00500000,0.01200000
377065.00000000,31.24075382,121.50287515,15.36300000,0.00800000,0.00600000,0.01200000
377066.00000000,31.24075338,121.50287460,15.37100000,0.00800000,0.00500000,0.01100000
377067.00000000,31.24075451,121.50287419,15.36500000,0.00800000,0.00500000,0.01100000
377068.00000000,31.24075452,121.50287388,15.37400000,0.00700000,0.00500000,0.01100000
377069.00000000,31.24075452,121.50287383,15.37300000,0.00700000,0.00500000,0.01100000
377070.00000000,31.24075463,121.50287396,15.36200000,0.00700000,0.00500000,0.01100000
377071.00000000,31.24075453,121.50287412,15.34500000,0.00700000,0.00500000,0.01100000
377072.00000000,31.24075476,121.50287414,15.33700000,0.00700000,0.00500000,0.01100000
377073.00000000,31.24075493,121.50287412,15.32800000,0.00700000,0.00500000,0.01100000
377074.00000000,31.24075484,121.50287421,15.31900000,0.00700000,0.00500000,0.01100000
377075.00000000,31.24075495,121.50287412,15.31300000,0.00700000,0.00500000,0.01100000
377076.00000000,31.24075518,121.50287419,15.29300000,0.00700000,0.00500000,0.01100000
377077.00000000,31.24075563,121.50287414,15.28500000,0.00700000,0.00600000,0.01100000
377078.00000000,31.24075559,121.50287388,15.29100000,0.00700000,0.00600000,0.01100000
377079.00000000,31.24075544,121.50287403,15.29500000,0.00700000,0.00600000,0.01100000
377080.00000000,31.24075564,121.50287415,15.28200000,0.00700000,0.00600000,0.01100000
377081.00000000,31.24075552,121.50287390,15.30400000,0.00700000,0.00600000,0.01100000
377082.00000000,31.24075559,121.50287382,15.31200000,0.00700000,0.00600000,0.01100000
377083.00000000,31.24075546,121.50287386,15.32000000,0.00700000,0.00600000,0.01100000
377084.00000000,31.24075544,121.50287387,15.31800000,0.00700000,0.00600000,0.01100000
377085.00000000,31.24075545,121.50287384,15.31900000,0.00700000,0.00600000,0.01100000
377086.00000000,31.24075549,121.50287387,15.31800000,0.00700000,0.00500000,0.01100000
377087.00000000,31.24075545,121.50287391,15.31900000,0.00700000,0.00500000,0.01100000
377088.00000000,31.24075549,121.50287404,15.31500000,0.00700000,0.00500000,0.01100000
377089.00000000,31.24075528,121.50287402,15.34400000,0.00700000,0.00500000,0.01100000
377090.00000000,31.24075516,121.50287388,15.33700000,0.00700000,0.00500000,0.01100000
377091.00000000,31.24075521,121.50287382,15.32600000,0.00700000,0.00500000,0.01100000
377092.00000000,31.24075515,121.50287376,15.34000000,0.00700000,0.00500000,0.01100000
377093.00000000,31.24075520,121.50287386,15.34100000,0.00700000,0.00500000,0.01100000
377094.00000000,31.24075517,121.50287402,15.33000000,0.00700000,0.00500000,0.01100000
377095.00000000,31.24075518,121.50287404,15.32500000,0.00700000,0.00500000,0.01100000
377096.00000000,31.24075518,121.50287405,15.32400000,0.00700000,0.00500000,0.01100000
377097.00000000,31.24075518,121.50287403,15.32400000,0.00700000,0.00500000,0.01100000
377098.00000000,31.24075521,121.50287403,15.32600000,0.00700000,0.00500000,0.01100000
377099.00000000,31.24075521,121.50287400,15.34100000,0.00700000,0.00500000,0.01100000
377100.00000000,31.24075528,121.50287393,15.32900000,0.00700000,0.00500000,0.01100000
377101.00000000,31.24075534,121.50287390,15.32400000,0.00700000,0.00500000,0.01100000
377102.00000000,31.24075528,121.50287406,15.32700000,0.00700000,0.00500000,0.01100000
377103.00000000,31.24075526,121.50287401,15.33200000,0.00700000,0.00500000,0.01100000
377104.00000000,31.24075525,121.50287401,15.32900000,0.00700000,0.00500000,0.01100000
377105.00000000,31.24075521,121.50287402,15.32300000,0.00700000,0.00500000,0.01100000
377106.00000000,31.24075515,121.50287405,15.31800000,0.00700000,0.00600000,0.01100000
377107.00000000,31.24075515,121.50287420,15.30400000,0.00800000,0.00600000,0.01100000
377108.00000000,31.24075525,121.50287422,15.29700000,0.00800000,0.00600000,0.01100000
377109.00000000,31.24075529,121.50287421,15.29600000,0.00800000,0.00600000,0.01100000
377110.00000000,31.24075534,121.50287423,15.29800000,0.00800000,0.00600000,0.01100000
377111.00000000,31.24075529,121.50287418,15.29900000,0.00800000,0.00600000,0.01100000
377112.00000000,31.24075527,121.50287414,15.29800000,0.00800000,0.00600000,0.01100000
377113.00000000,31.24075527,121.50287414,15.29800000,0.00800000,0.00600000,0.01100000
377114.00000000,31.24075527,121.50287414,15.29800000,0.00800000,0.00600000,0.01100000
377115.00000000,31.24075527,121.50287414,15.29800000,0.00800000,0.00600000,0.01000000
377116.00000000,31.24075527,121.50287414,15.29800000,0.00800000,0.00600000,0.01000000
377117.00000000,31.24075527,121.50287416,15.29700000,0.00800000,0.00500000,0.01000000
377118.00000000,31.24075525,121.50287413,15.29900000,0.00800000,0.00500000,0.01000000
377119.00000000,31.24075523,121.50287405,15.30200000,0.00800000,0.00500000,0.01000000
377120.00000000,31.24075523,121.50287405,15.30200000,0.00800000,0.00500000,0.01000000
377121.00000000,31.24075523,121.50287405,15.30200000,0.00800000,0.00500000,0.01000000
377122.00000000,31.24075523,121.50287405,15.30200000,0.00800000,0.00500000,0.01000000
377123.00000000,31.24075523,121.50287405,15.30200000,0.00800000,0.00500000,0.01000000
377124.00000000,31.24075523,121.50287401,15.30800000,0.00800000,0.00500000,0.01000000
377125.00000000,31.24075518,121.50287400,15.31700000,0.00700000,0.00500000,0.01000000
