GPS Time(s),Lat(deg),Lon(deg),height(m),SD_E(m),SD_N(m),SD_U(m)
187333.00000000,31.22671075,121.52918516,15.79800000,0.02100000,0.02000000,0.03400000
187334.00000000,31.22671133,121.52918611,15.79400000,0.01800000,0.01700000,0.03000000
187335.00000000,31.22671234,121.52918728,15.78700000,0.01600000,0.01400000,0.02700000
187336.00000000,31.22671442,121.52919007,15.82300000,0.01200000,0.01100000,0.02000000
187337.00000000,31.22671489,121.52919426,15.80300000,0.01100000,0.00900000,0.01600000
187338.00000000,31.22671574,121.52919416,15.78700000,0.01100000,0.00900000,0.01600000
187339.00000000,31.22671569,121.52919416,15.77000000,0.01100000,0.00900000,0.01600000
187340.00000000,31.22671612,121.52919372,15.76900000,0.01100000,0.00900000,0.01700000
187341.00000000,31.22671605,121.52919448,15.76000000,0.01100000,0.00900000,0.01700000
187342.00000000,31.22671615,121.52919428,15.76100000,0.01100000,0.01000000,0.01700000
187343.00000000,31.22671598,121.52919441,15.75600000,0.01100000,0.01000000,0.01700000
187344.00000000,31.22671545,121.52919564,15.76000000,0.01100000,0.01000000,0.01700000
187345.00000000,31.22671391,121.52919831,15.79100000,0.01200000,0.01000000,0.01700000
187346.00000000,31.22671612,121.52919818,15.79000000,0.01200000,0.01000000,0.01700000
187347.00000000,31.22671608,121.52919421,15.78300000,0.01200000,0.01000000,0.01800000
187348.00000000,31.22671894,121.52919169,15.75100000,0.01200000,0.01000000,0.01800000
187349.00000000,31.22671939,121.52919068,15.75400000,0.01200000,0.01000000,0.01800000
187350.00000000,31.22671910,121.52919174,15.76300000,0.01200000,0.01000000,0.01800000
187351.00000000,31.22671703,121.52919212,15.77800000,0.01200000,0.01000000,0.01800000
187352.00000000,31.22671442,121.52919445,15.78100000,0.01200000,0.01000000,0.01800000
187353.00000000,31.22671275,121.52919320,15.78200000,0.01200000,0.01000000,0.01800000
187354.00000000,31.22671230,121.52919427,15.74500000,0.01200000,0.01000000,0.01800000
187355.00000000,31.22671207,121.52919388,15.74200000,0.01200000,0.01000000,0.01800000
187356.00000000,31.22671183,121.52919397,15.75900000,0.01200000,0.01000000,0.01800000
187357.00000000,31.22671094,121.52919462,15.78500000,0.01200000,0.01000000,0.01800000
187358.00000000,31.22670625,121.52919303,15.81800000,0.01100000,0.01000000,0.01800000
187359.00000000,31.22670061,121.52919239,15.82600000,0.01100000,0.01000000,0.01800000
187360.00000000,31.22669689,121.52918826,15.82200000,0.01100000,0.01000000,0.01800000
187361.00000000,31.22669262,121.52919025,15.83800000,0.01100000,0.01000000,0.01800000
187362.00000000,31.22669047,121.52919160,15.84300000,0.01100000,0.01000000,0.01800000
187363.00000000,31.22668995,121.52919156,15.83700000,0.01100000,0.01000000,0.01800000
187364.00000000,31.22668957,121.52919152,15.83400000,0.01100000,0.01000000,0.01800000
187365.00000000,31.22668904,121.52919136,15.82600000,0.01100000,0.01000000,0.01800000
187366.00000000,31.22668867,121.52919122,15.81400000,0.01100000,0.01000000,0.01800000
187367.00000000,31.22668859,121.52919110,15.80900000,0.01100000,0.01000000,0.01800000
187368.00000000,31.22668853,121.52919100,15.80200000,0.01100000,0.01000000,0.01800000
187369.00000000,31.22668853,121.52919077,15.78900000,0.01100000,0.01000000,0.01800000
187370.00000000,31.22668851,121.52919073,15.78400000,0.01100000,0.01000000,0.01800000
187371.00000000,31.22668856,121.52919073,15.78100000,0.01100000,0.01000000,0.01800000
187372.00000000,31.22668857,121.52919074,15.77900000,0.01200000,0.01000000,0.01800000
187373.00000000,31.22668848,121.52919077,15.77900000,0.01200000,0.01000000,0.01800000
187374.00000000,31.22668841,121.52919082,15.78300000,0.01200000,0.01000000,0.01900000
187375.00000000,31.22668845,121.52919091,15.78700000,0.01200000,0.01000000,0.01900000
187376.00000000,31.22668847,121.52919097,15.79100000,0.01200000,0.01000000,0.01900000
187377.00000000,31.22668841,121.52919111,15.79300000,0.01200000,0.01000000,0.01900000
187378.00000000,31.22668830,121.52919125,15.79800000,0.01200000,0.01000000,0.01900000
187379.00000000,31.22668832,121.52919123,15.79700000,0.01200000,0.01000000,0.01900000
187380.00000000,31.22668844,121.52919094,15.80100000,0.01200000,0.01000000,0.01900000
187381.00000000,31.22668851,121.52919081,15.80000000,0.01200000,0.01000000,0.01900000
187382.00000000,31.22668858,121.52919078,15.80300000,0.01200000,0.01000000,0.01900000
187383.00000000,31.22668862,121.52919079,15.80000000,0.01200000,0.01000000,0.01900000
187384.00000000,31.22668853,121.52919070,15.79800000,0.01400000,0.01200000,0.02200000
187385.00000000,31.22668849,121.52919071,15.79500000,0.01500000,0.01400000,0.02400000
187386.00000000,31.22668859,121.52919075,15.78700000,0.01500000,0.01400000,0.02400000
187387.00000000,31.22668875,121.52919094,15.79400000,0.01600000,0.01400000,0.02400000
187388.00000000,31.22668874,121.52919105,15.79200000,0.01600000,0.01400000,0.02400000
187389.00000000,31.22668893,121.52919129,15.79900000,0.01600000,0.01500000,0.02400000
187390.00000000,31.22668912,121.52919187,15.81000000,0.01600000,0.01400000,0.02400000
187391.00000000,31.22668928,121.52919215,15.81400000,0.01500000,0.01400000,0.02400000
187392.00000000,31.22668943,121.52919245,15.81800000,0.01500000,0.01400000,0.02400000
187393.00000000,31.22669001,121.52919321,15.84000000,0.01600000,0.01400000,0.02400000
187394.00000000,31.22669048,121.52919843,15.86800000,0.01600000,0.01500000,0.02400000
187395.00000000,31.22669157,121.52920021,15.84500000,0.01600000,0.01500000,0.02400000
187396.00000000,31.22669608,121.52919815,15.85200000,0.01600000,0.01500000,0.02500000
