GPS Time(s),Lat(deg),Lon(deg),height(m),SD_E(m),SD_N(m),SD_U(m)
267989.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05800000,0.09200000
267990.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
267991.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
267992.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
267993.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
267994.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
267995.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
267996.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
267997.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
267998.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
267999.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
268000.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
268001.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
268002.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
268003.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
268004.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
268005.00000000,34.19609897,108.83714130,370.85200000,0.08200000,0.05700000,0.09100000
268006.00000000,34.19609897,108.83714130,370.85200000,0.08000000,0.05500000,0.09000000
268007.00000000,34.19609897,108.83714130,370.85200000,0.07800000,0.05400000,0.08800000
268008.00000000,34.19609897,108.83714131,370.85300000,0.07700000,0.05300000,0.08600000
268009.00000000,34.19609896,108.83714133,370.85300000,0.07500000,0.05300000,0.08500000
268010.00000000,34.19609896,108.83714135,370.85400000,0.07400000,0.05200000,0.08400000
268011.00000000,34.19609897,108.83714138,370.85400000,0.07300000,0.05100000,0.08200000
268012.00000000,34.19609900,108.83714138,370.85400000,0.07200000,0.05000000,0.08100000
268013.00000000,34.19609902,108.83714140,370.85500000,0.07100000,0.05000000,0.08000000
